name_id	title_id
nm0617588	tt0000091
nm0808310	tt0000272
nm0378408	tt0000309
nm0378408	tt0000420
nm0742777	tt0000443
nm0002615	tt0000472
nm0106151	tt0000546
nm0000875	tt0000679
nm0115524	tt0000816
nm0115524	tt0000909
nm0333175	tt0000988
nm0478475	tt0001240
nm0649211	tt0001264
nm0487007	tt0001459
nm0532996	tt0001686
nm0001908	tt0001706
nm0865178	tt0001801
nm0366609	tt0001873
nm0811293	tt0001877
nm0487007	tt0001928
nm0570252	tt0001935
nm0230188	tt0001981
nm0487007	tt0002082
nm0617588	tt0002113
nm2529677	tt0002211
nm0163933	tt0002371
nm0264286	tt0002371
nm0487007	tt0002387
nm0649211	tt0002387
nm0694602	tt0002394
nm0113224	tt0002669
nm0408436	tt0002669
nm0806960	tt0002670
nm0308848	tt0002784
nm0649211	tt0002819
nm0649211	tt0003011
nm0755545	tt0003324
nm0751510	tt0003337
nm0376529	tt0003351
nm0098376	tt0003362
nm0058184	tt0003362
nm0408433	tt0003391
nm0066734	tt0003438
nm0076673	tt0003592
nm0502090	tt0003603
nm0001908	tt0003719
nm0098376	tt0003731
nm0113224	tt0003736
nm0919737	tt0003854
nm0204724	tt0004052
nm0776747	tt0004052
nm0268422	tt0004134
nm0811293	tt0004179
nm0842239	tt0004181
nm0000875	tt0004207
nm0408433	tt0004229
nm0492302	tt0004272
nm0502090	tt0004287
nm0058184	tt0004307
nm0354282	tt0004307
nm0412249	tt0004307
nm0583645	tt0004307
nm0679043	tt0004307
nm0355550	tt0004313
nm0502752	tt0004313
nm0478359	tt0004336
nm0811293	tt0004336
nm0365723	tt0004451
nm0534259	tt0004532
nm0420232	tt0004537
nm0365723	tt0004586
nm0163933	tt0004630
nm0264286	tt0004630
nm0076673	tt0004668
nm0358029	tt0004698
nm0502090	tt0004745
nm0594291	tt0004809
nm0628557	tt0004832
nm0499548	tt0004933
nm0000428	tt0004972
nm0376221	tt0004972
nm1530337	tt0004974
nm0442108	tt0004996
nm0396416	tt0005005
nm0410008	tt0005005
nm0776747	tt0005005
nm0822488	tt0005005
nm0836316	tt0005073
nm0370564	tt0005078
nm0408436	tt0005149
nm0408436	tt0005166
nm0408436	tt0005193
nm0355661	tt0005250
nm0365723	tt0005374
nm0355661	tt0005427
nm0372558	tt0005496
nm0106151	tt0005554
nm0502752	tt0005575
nm0267922	tt0005594
nm0656425	tt0005719
nm0783152	tt0005746
nm0420232	tt0005754
nm0160280	tt0005785
nm0470967	tt0005889
nm0542756	tt0005972
nm0806960	tt0005972
nm0230188	tt0005979
nm0378408	tt0006129
nm0783152	tt0006144
nm0679043	tt0006194
nm0376529	tt0006196
nm0004592	tt0006206
nm0076673	tt0006252
nm0755545	tt0006253
nm0098376	tt0006280
nm0267922	tt0006317
nm0240538	tt0006339
nm0830769	tt0006359
nm0330373	tt0006376
nm0132444	tt0006414
nm0355550	tt0006476
nm0640421	tt0006508
nm0132444	tt0006548
nm0433165	tt0006630
nm0355661	tt0006637
nm1176713	tt0006684
nm0171035	tt0006684
nm0445920	tt0006684
nm1176713	tt0006689
nm0400912	tt0006726
nm0836316	tt0006728
nm0115524	tt0006745
nm0640421	tt0006826
nm0376529	tt0006837
nm0000428	tt0006864
nm0376221	tt0006864
nm0005658	tt0006864
nm0656425	tt0006864
nm0848226	tt0006864
nm0378408	tt0006866
nm0481193	tt0006916
nm0923990	tt0007024
nm0206802	tt0007031
nm0140915	tt0007036
nm0212091	tt0007109
nm0830769	tt0007142
nm0141650	tt0007201
nm0359105	tt0007237
nm0413582	tt0007248
nm0276862	tt0007257
nm0496774	tt0007257
nm0116974	tt0007264
nm0445920	tt0007264
nm0383199	tt0007326
nm0542756	tt0007339
nm0822488	tt0007345
nm1530337	tt0007402
nm0376529	tt0007404
nm0368933	tt0007408
nm0106151	tt0007412
nm0117018	tt0007507
nm1176713	tt0007507
nm0132444	tt0007507
nm0171035	tt0007507
nm0927468	tt0007534
nm0268422	tt0007551
nm0355661	tt0007598
nm0393998	tt0007602
nm0433165	tt0007603
nm0656425	tt0007617
nm0057400	tt0007667
nm0534255	tt0007698
nm0410008	tt0007737
nm0640421	tt0007787
nm0140915	tt0007817
nm0238532	tt0007834
nm0722425	tt0007851
nm1530337	tt0007867
nm0376221	tt0007931
nm0354282	tt0007931
nm0554955	tt0007958
nm0330373	tt0007969
nm0764346	tt0007988
nm0822488	tt0007989
nm0100477	tt0007992
nm0433165	tt0008016
nm0141650	tt0008028
nm0276862	tt0008031
nm0045001	tt0008037
nm0414694	tt0008100
nm0676978	tt0008100
nm0132444	tt0008133
nm0171035	tt0008133
nm0701012	tt0008133
nm0426718	tt0008142
nm0919380	tt0008187
nm0769584	tt0008196
nm1268180	tt0008252
nm0478359	tt0008259
nm0492742	tt0008273
nm0861336	tt0008381
nm0245385	tt0008406
nm0806960	tt0008413
nm0822488	tt0008429
nm0769584	tt0008454
nm0285643	tt0008476
nm0192062	tt0008476
nm0679043	tt0008502
nm0177527	tt0008557
nm0801029	tt0008557
nm0499548	tt0008560
nm0534255	tt0008596
nm0410008	tt0008602
nm0540485	tt0008634
nm0391295	tt0008730
nm0359105	tt0008737
nm0245385	tt0008915
nm0166730	tt0008917
nm1530337	tt0008919
nm0806960	tt0008920
nm0064600	tt0008932
nm0603803	tt0008971
nm0291548	tt0008974
nm0454695	tt0009050
nm0430756	tt0009095
nm0500743	tt0009146
nm0207070	tt0009164
nm0861336	tt0009165
nm0755545	tt0009202
nm0367556	tt0009249
nm0492742	tt0009299
nm0163933	tt0009301
nm0540485	tt0009325
nm0635667	tt0009369
nm0267922	tt0009407
nm0355550	tt0009426
nm0247483	tt0009428
nm0100474	tt0009452
nm0238532	tt0009508
nm1472663	tt0009520
nm0492742	tt0009526
nm0511104	tt0009560
nm0094900	tt0009576
nm0836316	tt0009612
nm0291548	tt0009621
nm0603803	tt0009677
nm0420232	tt0009682
nm0511104	tt0009682
nm0581499	tt0009708
nm0058939	tt0009753
nm0635667	tt0009760
nm0791014	tt0009792
nm0355550	tt0009793
nm0426718	tt0009794
nm0071658	tt0009862
nm0505224	tt0009905
nm0292810	tt0009952
nm0058939	tt0009959
nm0000428	tt0009968
nm0005658	tt0009968
nm0712660	tt0009991
nm0140452	tt0010002
nm0588336	tt0010015
nm0063492	tt0010032
nm0358029	tt0010040
nm0681933	tt0010040
nm0426718	tt0010042
nm0692108	tt0010054
nm0359002	tt0010074
nm0294276	tt0010076
nm0628557	tt0010109
nm0160280	tt0010211
nm0368933	tt0010228
nm0930308	tt0010257
nm0156311	tt0010310
nm0635667	tt0010313
nm0385012	tt0010323
nm0927468	tt0010323
nm0459901	tt0010330
nm0801029	tt0010357
nm0064600	tt0010371
nm0492742	tt0010407
nm0359002	tt0010422
nm0454535	tt0010446
nm0422164	tt0010469
nm0005641	tt0010476
nm0000428	tt0010484
nm0570252	tt0010554
nm0391295	tt0010558
nm0801029	tt0010566
nm0156311	tt0010603
nm0330373	tt0010661
nm0247483	tt0010779
nm0156311	tt0010797
nm0842239	tt0010825
nm0848226	tt0010849
nm0359002	tt0010916
nm0878035	tt0010925
nm0481193	tt0010934
nm0294276	tt0010946
nm0100474	tt0010946
nm0481193	tt0010946
nm1472663	tt0010946
nm0333175	tt0010953
nm0354282	tt0010959
nm0791014	tt0011026
nm0886754	tt0011093
nm0192325	tt0011093
nm0677174	tt0011093
nm0387000	tt0011134
nm0511104	tt0011191
nm0426718	tt0011193
nm0245385	tt0011198
nm0294276	tt0011219
nm0404794	tt0011219
nm0094900	tt0011231
nm0387000	tt0011241
nm0116227	tt0011251
nm0404794	tt0011280
nm0066024	tt0011387
nm0394524	tt0011434
nm0509573	tt0011436
nm0001935	tt0011439
nm0209323	tt0011439
nm0801737	tt0011475
nm0925118	tt0011486
nm0712660	tt0011557
nm0247483	tt0011575
nm0692108	tt0011588
nm0442108	tt0011696
nm0057400	tt0011707
nm0878035	tt0011711
nm0383199	tt0011714
nm0540485	tt0011734
nm0340599	tt0011753
nm0268422	tt0011781
nm0848226	tt0011800
nm0570252	tt0011809
nm0689737	tt0011812
nm0357929	tt0011816
nm0534255	tt0011857
nm0511104	tt0011908
nm0445920	tt0011922
nm0192325	tt0011939
nm0247483	tt0011966
nm0005843	tt0011970
nm0887714	tt0012000
