title_id	name_id	role_
tt0004287	nm0390676	
tt0004287	nm0704334	
tt0004287	nm0755545	
tt0004287	nm0790360	
tt0004287	nm0848226	
tt0004287	nm0113224	
tt0004287	nm0076673	
tt0004287	nm0106151	
tt0004307	nm0166730	
tt0004307	nm0679043	
tt0004307	nm0058184	
tt0004307	nm0712660	
tt0004307	nm0354282	
tt0004307	nm0412249	
tt0004307	nm0583645	
tt0005005	nm0192062	
tt0005005	nm0285643	
tt0005005	nm0689737	
tt0005005	nm0776747	
tt0006548	nm0445920	
tt0006548	nm0000122	
tt0006548	nm0701012	
tt0006548	nm0132444	
tt0006548	nm0042317	
tt0006548	nm0116974	
tt0006548	nm0171035	
tt0007858	nm0588336	
tt0007858	nm0330373	
tt0007858	nm0798130	
tt0007858	nm0177527	
tt0007858	nm0534255	
tt0007858	nm0801029	
tt0007858	nm0426718	
tt0010108	nm0511104	
tt0010108	nm0848226	
tt0010108	nm0551222	
tt0010108	nm0656425	
tt0010108	nm0830769	
tt0010108	nm0654262	
tt0010108	nm0640421	
tt0010108	nm0797094	
tt0011231	nm0532996	
tt0011231	nm0842239	
tt0011231	nm0057400	
tt0011231	nm0420232	
tt0011231	nm0268422	
tt0011231	nm0094900	Miss Maitland
tt0011231	nm0094900	Private Secretary
tt0012432	nm0247083	
tt0012432	nm0562866	
tt0012432	nm0222902	
tt0012432	nm0149974	
tt0012432	nm0496774	
tt0012432	nm0487007	
tt0012466	nm0330763	
tt0012466	nm0292810	
tt0012466	nm0829795	
tt0012466	nm0454695	
tt0012466	nm0165661	
tt0012466	nm0932253	
tt0012466	nm1530337	
tt0012468	nm0635667	
tt0012468	nm0629589	
tt0012468	nm0230188	
tt0012468	nm0352443	
tt0012734	nm0534259	
tt0012734	nm0316995	
tt0012734	nm0540485	
tt0012734	nm0247483	
tt0012734	nm0141650	
tt0012734	nm0722425	Bransford Of Rainbow Range
tt0012734	nm0116227	
tt0016615	nm0052217	
tt0016615	nm0103096	
tt0016615	nm0939693	
tt0016615	nm0447043	
tt0017242	nm0800890	
tt0017242	nm0602914	
tt0017242	nm0001935	
tt0017242	nm0237571	
tt0017242	nm0248890	
tt0018520	nm1597068	
tt0018520	nm0736017	
tt0018520	nm0010329	
tt0018520	nm0273342	
tt0018520	nm0307322	
tt0018520	nm0334604	
tt0018811	nm0499548	
tt0018811	nm0371040	
tt0018811	nm0635203	
tt0018811	nm0561857	
tt0018811	nm0804006	
tt0018811	nm0073595	
tt0018811	nm0666201	
tt0018811	nm0207070	
tt0018994	nm0002154	
tt0018994	nm0827469	
tt0018994	nm0753567	
tt0018994	nm1587034	
tt0019773	nm0219666	
tt0019773	nm0367891	
tt0019773	nm0363227	
tt0019773	nm0514707	
tt0019773	nm0711657	When The Devil Was Sick
tt0020768	nm0268190	
tt0020768	nm0242041	
tt0020768	nm0868456	
tt0020768	nm0948796	
tt0020768	nm0504443	The Mud Turtle
tt0021137	nm0149484	
tt0021137	nm0804006	
tt0021137	nm0384202	
tt0021137	nm0087404	
tt0021137	nm0783041	
tt0021137	nm0446403	The Show-Off
tt0021778	nm0001076	
tt0021778	nm0249893	
tt0021778	nm0883199	
tt0021778	nm0049055	
tt0022353	nm0639563	
tt0022353	nm0504374	
tt0022353	nm0548056	
tt0022353	nm0446943	
tt0022816	nm0146905	
tt0022816	nm0484748	
tt0022816	nm0572142	
tt0022816	nm0456628	
tt0022816	nm0604960	
tt0023071	nm0094106	
tt0023071	nm0326725	
tt0023071	nm0326536	
tt0023209	nm0007220	
tt0023209	nm0000802	
tt0023209	nm0356568	
tt0023209	nm0408433	
tt0023685	nm0429923	
tt0023685	nm0832011	
tt0023685	nm0358076	
tt0023685	nm0242562	
tt0024061	nm1808005	
tt0024061	nm2273428	
tt0024061	nm2282717	
tt0024061	nm1364689	
tt0024099	nm0880569	
tt0024099	nm0405977	
tt0024099	nm0004464	
tt0024099	nm0836724	
tt0024613	nm0173416	
tt0024613	nm0000370	
tt0024613	nm0307732	
tt0024674	nm0001935	
tt0024674	nm0000068	
tt0024674	nm0707803	
tt0024674	nm0479011	
tt0024674	nm0185568	
tt0024674	nm0533692	
tt0024744	nm0411208	
tt0024744	nm1114715	
tt0025007	nm0063915	
tt0025007	nm0153713	
tt0025007	nm0532939	
tt0025007	nm0317970	
tt0025007	nm0100843	
tt0025007	nm0568757	
tt0025336	nm0209142	
tt0025336	nm0902746	
tt0025336	nm0546248	
tt0025336	nm0002379	
tt0025591	nm0491048	
tt0025591	nm0001316	
tt0025591	nm0123994	
tt0025591	nm0059374	
tt0026005	nm0356568	
tt0026005	nm0209323	
tt0026005	nm0285922	
tt0026005	nm0446580	
tt0027155	nm0442664	
tt0027155	nm0252421	
tt0027155	nm0738198	
tt0027155	nm0092051	
tt0027155	nm0259206	
tt0027171	nm0880569	
tt0027171	nm0927436	
tt0027171	nm0002154	
tt0027171	nm0603803	
tt0027171	nm0359105	Viktoria
tt0028071	nm0148140	
tt0028071	nm0532277	
tt0028071	nm0642241	
tt0028071	nm0517099	
tt0028071	nm0832681	The Trouble
tt0028071	nm0779631	The Trouble
tt0028352	nm0534045	
tt0028352	nm0642988	
tt0028352	nm0662335	
tt0028352	nm0634313	
tt0028359	nm0534045	
tt0028359	nm0000910	
tt0028359	nm0686032	
tt0028359	nm0397397	
tt0028359	nm0736752	Wild Wings
tt0028359	nm0206802	Wild Wings
tt0029036	nm0001055	
tt0029036	nm0002048	
tt0029036	nm0001870	
tt0029036	nm0101350	
tt0029039	nm0356159	
tt0029039	nm0606431	
tt0029039	nm0140504	
tt0029039	nm0532997	
tt0029039	nm0593775	
tt0029870	nm0000010	
tt0029870	nm0002285	
tt0029870	nm0000007	
tt0029870	nm0792130	
tt0030051	nm0824496	
tt0030051	nm0919737	
tt0030051	nm0495285	
tt0030051	nm0011389	
tt0030484	nm0382165	
tt0030484	nm0241523	
tt0030484	nm0866010	
tt0030484	nm0370797	
tt0030484	nm0003224	
tt0030727	nm0290215	
tt0030727	nm0107575	
tt0030727	nm0402842	
tt0030727	nm0225649	
tt0030884	nm0268225	
tt0030884	nm0533692	
tt0030884	nm0448366	
tt0030884	nm0732062	
tt0031973	nm0000075	
tt0031973	nm0446715	
tt0031973	nm0338901	
tt0031973	nm0000974	
tt0032187	nm0551570	
tt0032187	nm0850950	
tt0032187	nm0459778	
tt0032187	nm0917891	
tt0032256	nm0531776	
tt0032256	nm0248904	
tt0032256	nm0001695	
tt0032256	nm0402842	
tt0033231	nm0854996	
tt0033231	nm0082600	
tt0033231	nm0617527	
tt0033231	nm0452735	
tt0033238	nm0000046	
tt0033238	nm0001791	
tt0033238	nm0914778	
tt0033238	nm0276065	
tt0033435	nm0455893	
tt0033435	nm0572142	
tt0033435	nm0941019	
tt0033435	nm0641454	
tt0033435	nm0446763	
tt0033435	nm0686032	
tt0033835	nm1498560	
tt0033835	nm0173416	
tt0033987	nm0526946	
tt0033987	nm0002092	
tt0033987	nm0593775	
tt0033987	nm0000734	
tt0033987	nm0789758	The Gentle People
tt0034076	nm0004464	
tt0034076	nm0385381	
tt0034076	nm0278692	
tt0034076	nm0509573	
tt0034093	nm0300064	
tt0034093	nm0719233	
tt0034093	nm0006807	
tt0034093	nm0087926	
tt0034753	nm0921131	
tt0034753	nm0076700	
tt0034753	nm0360253	
tt0034753	nm0485764	
tt0034753	nm0709917	
tt0034753	nm0737008	
tt0034883	nm0363515	
tt0034883	nm0028878	
tt0034883	nm0084098	
tt0034883	nm0867538	
tt0034883	nm0354889	
tt0036108	nm0413064	
tt0036108	nm0233614	
tt0036108	nm0154804	
tt0036625	nm0000891	
tt0036625	nm0001931	
tt0036625	nm0001017	
tt0036625	nm0446101	
tt0036952	nm0526946	
tt0036952	nm0002134	
tt0036952	nm0171166	
tt0036952	nm0092683	
tt0037232	nm0134594	
tt0037232	nm0549773	
tt0037232	nm0304844	
tt0037232	nm0812919	
tt0037232	nm0000636	Romeo And Juliet
tt0037690	nm0007218	
tt0037690	nm0179411	
tt0037690	nm0112395	
tt0037690	nm0595643	
tt0037701	nm0623684	
tt0037701	nm0354853	
tt0037701	nm0186172	
tt0037701	nm0519618	
tt0037771	nm0007941	
tt0037771	nm0182579	
tt0037771	nm0752787	
tt0037771	nm0640930	
tt0038127	nm0000734	
tt0038127	nm0852365	
tt0038127	nm0853576	
tt0038127	nm0932403	
tt0039472	nm0000073	
tt0039472	nm0867144	
tt0039472	nm0534972	
tt0039472	nm0739123	
tt0040731	nm0035159	
tt0040731	nm0605685	
tt0040731	nm0400794	
tt0040731	nm0589641	
tt0040876	nm0001805	
tt0040876	nm0000037	
tt0040876	nm0000742	
tt0040876	nm0001336	
tt0040920	nm0340706	
tt0040920	nm0715637	
tt0040920	nm0219396	
tt0040920	nm0533692	
tt0041200	nm0850236	
tt0041200	nm0059549	
tt0041200	nm0226773	
tt0041200	nm0001918	
tt0041270	nm0663423	
tt0041270	nm0658019	
tt0041270	nm0432465	
tt0041270	nm0700343	
tt0041448	nm0749518	
tt0041448	nm0934290	
tt0041448	nm0167395	
tt0041448	nm0115066	
tt0041448	nm0601117	
tt0041448	nm0427157	
tt0041474	nm0000305	
tt0041716	nm0000037	
tt0041716	nm0000069	
tt0041716	nm0308081	
tt0041716	nm0587900	
