title_id	ordering	type
tt0115059	5	original
tt0116367	30	imdbDisplay
tt0116999	26	imdbDisplay
tt0118174	13	imdbDisplay
tt0118856	14	imdbDisplay
tt0118971	26	imdbDisplay
tt0119196	12	imdbDisplay
tt0119488	54	imdbDisplay
tt0119545	5	imdbDisplay
tt0119653	4	video
tt0119903	4	imdbDisplay
tt0120078	2	original
tt0120168	2	original
tt0120389	20	imdbDisplay
tt0120489	2	imdbDisplay
tt0122016	1	imdbDisplay
tt0122248	1	original
tt0123119	5	imdbDisplay
tt0124151	3	original
tt0124563	1	imdbDisplay
tt0124968	2	imdbDisplay
tt0126916	28	imdbDisplay
tt0127948	7	original
tt0128250	1	original
tt0128362	1	imdbDisplay
tt0128961	1	imdbDisplay
tt0130805	1	imdbDisplay
tt0130907	4	original
tt0132011	11	imdbDisplay
tt0134743	9	imdbDisplay
tt0136752	4	original
tt0137452	5	imdbDisplay
tt0137649	2	original
tt0140791	2	imdbDisplay
tt0141339	2	original
tt0141923	2	imdbDisplay
tt0141972	1	imdbDisplay
tt0142409	4	working
tt0143005	4	original
tt0143944	4	imdbDisplay
tt0146449	3	original
tt0146571	11	imdbDisplay
tt0147145	1	imdbDisplay
tt0149898	2	imdbDisplay
tt0156464	2	imdbDisplay
tt0159995	11	imdbDisplay
tt0160654	2	original
tt0160801	6	imdbDisplay
tt0161924	1	original
tt0162135	1	original
tt0162346	37	imdbDisplay
tt0164442	3	original
tt0165309	5	original
tt0165389	6	imdbDisplay
tt0168252	2	imdbDisplay
tt0168824	2	imdbDisplay
tt0169455	6	imdbDisplay
tt0169601	14	imdbDisplay
tt0174255	4	tv
tt0176223	2	imdbDisplay
tt0176708	3	imdbDisplay
tt0179443	2	dvd
tt0180825	2	alternative
tt0184179	1	original
tt0184694	2	original
tt0185618	3	imdbDisplay
tt0185937	29	imdbDisplay
tt0185971	2	imdbDisplay
tt0186277	5	imdbDisplay
tt0186690	1	imdbDisplay
tt0187738	8	imdbDisplay
tt0191915	21	imdbDisplay
tt0192632	1	original
tt0193065	9	tv
tt0193560	20	imdbDisplay
tt0196720	4	working
tt0199531	4	original
tt0200430	4	imdbDisplay
tt0201365	4	original
tt0202390	4	festival
tt0207145	14	imdbDisplay
tt0209164	2	original
tt0210897	2	original
tt0210942	3	imdbDisplay
tt0215831	2	original
tt0218625	1	imdbDisplay
tt0219028	2	original
tt0220719	2	original
tt0220924	2	imdbDisplay
tt0221561	1	imdbDisplay
tt0224853	8	imdbDisplay
tt0229080	7	imdbDisplay
tt0229777	3	alternative
tt0231194	1	imdbDisplay
tt0231402	19	imdbDisplay
tt0231675	3	imdbDisplay
tt0232578	3	imdbDisplay
tt0235606	11	imdbDisplay
tt0237570	3	imdbDisplay
tt0239476	3	alternative
tt0240999	2	imdbDisplay
tt0243319	1	imdbDisplay
tt0243595	2	imdbDisplay
tt0245097	3	imdbDisplay
tt0246619	13	imdbDisplay
tt0247672	2	original
tt0248667	35	imdbDisplay
tt0250485	2	imdbDisplay
tt0252858	2	imdbDisplay
tt0254658	2	imdbDisplay
tt0258446	6	original
tt0259562	1	imdbDisplay
tt0260523	1	original
tt0261019	2	imdbDisplay
tt0262055	3	original
tt0262169	1	original
tt0265086	42	imdbDisplay
tt0268030	1	original
tt0269743	26	imdbDisplay
tt0271238	1	original
tt0271689	1	original
tt0273863	2	imdbDisplay
tt0274876	1	original
tt0275410	4	imdbDisplay
tt0276113	1	original
tt0276587	4	imdbDisplay
