title_id	name_id
tt0004287	nm0066734
tt0004307	nm0098376
tt0005005	nm0285643
tt0006548	nm0000122
tt0007858	nm0002179
tt0010108	nm0000428
tt0010306	nm0156311
tt0010946	nm0294276
tt0011231	nm0861336
tt0012432	nm0861336
tt0012466	nm0454771
tt0012468	nm0428059
tt0012734	nm0000406
tt0016615	nm0341486
tt0017242	nm0245385
tt0018520	nm0935806
tt0018811	nm0492742
tt0018994	nm0927467
tt0019773	nm0376221
tt0020768	nm0003638
tt0021137	nm0878338
tt0021778	nm0064600
tt0022353	nm0000406
tt0022816	nm0853130
tt0023071	nm0235590
tt0023209	nm0002179
tt0023685	nm0281808
tt0024061	nm0921195
tt0024099	nm0091380
tt0024613	nm0319013
tt0024674	nm0368871
tt0024744	nm0411208
tt0025007	nm0153713
tt0025007	nm0242554
tt0025336	nm0879802
tt0025591	nm0294137
tt0026005	nm0524995
tt0027155	nm0596410
tt0027171	nm0389155
tt0028071	nm0221423
tt0028071	nm0838820
tt0028352	nm0896542
tt0028359	nm0500552
tt0029036	nm0749484
tt0029039	nm0496505
tt0029870	nm0002031
tt0030051	nm0627864
tt0030484	nm0782947
tt0030727	nm0445033
tt0030884	nm0064415
tt0031973	nm0454771
tt0031973	nm0112897
tt0032187	nm0292919
tt0032256	nm0886754
tt0033231	nm0491504
tt0033231	nm0641045
tt0033238	nm0503777
tt0033435	nm0235066
tt0033835	nm0020980
tt0033835	nm0411208
tt0033987	nm0514822
tt0034076	nm0389219
tt0034093	nm0344927
tt0034753	nm0053484
tt0034753	nm0360253
tt0034753	nm0411208
tt0034883	nm0496505
tt0036108	nm0018136
tt0036625	nm0215877
tt0036952	nm0792605
tt0037232	nm0217035
tt0037690	nm0507390
tt0037701	nm0235066
tt0037771	nm0946391
tt0038127	nm0002164
tt0039472	nm0445033
tt0040731	nm0853028
tt0040731	nm0004573
tt0040876	nm0796645
tt0040920	nm0076750
tt0041200	nm0812827
tt0041270	nm0302143
tt0041448	nm0385171
tt0041474	nm0204190
tt0041716	nm0002045
tt0041716	nm0000037
tt0041847	nm0746740
tt0041967	nm0374702
tt0042200	nm0796645
tt0042200	nm0000923
tt0042897	nm0627087
tt0043311	nm0361561
tt0043505	nm0313124
tt0044630	nm0782947
tt0044812	nm0477702
tt0044818	nm0614634
tt0044859	nm0624535
tt0045040	nm0954724
tt0045094	nm0907779
tt0045806	nm0375213
tt0046399	nm0930536
tt0046681	nm0322178
tt0046899	nm0202681
tt0047091	nm0710524
tt0047162	nm0112218
tt0047261	nm0281556
tt0047424	nm0746740
tt0047507	nm0928644
tt0047898	nm0000248
tt0048078	nm0000339
tt0049372	nm0291201
tt0049696	nm0099592
tt0049949	nm0000485
tt0049972	nm0455938
tt0050762	nm0804752
tt0051405	nm0221423
tt0051439	nm0870311
tt0052296	nm0802862
tt0052327	nm0211964
tt0052507	nm0403774
tt0052507	nm0049914
tt0052507	nm0663120
tt0052507	nm0122319
tt0052507	nm0801941
tt0052507	nm1598972
tt0052507	nm0445701
tt0052507	nm0712836
tt0052507	nm0738680
tt0052507	nm0855804
tt0052507	nm0385341
tt0052507	nm0952712
tt0052507	nm1938417
tt0052507	nm0106175
tt0052507	nm1942552
tt0052507	nm0907484
tt0052958	nm0688076
tt0053714	nm0301422
tt0053936	nm0792605
tt0054197	nm0330456
tt0054693	nm0394409
tt0055408	nm0086466
tt0055934	nm0138893
tt0056193	nm0000040
tt0056732	nm0000320
tt0057123	nm0343464
tt0057128	nm0000339
tt0057543	nm0856715
tt0057682	nm0542702
tt0058099	nm0063077
tt0058144	nm0763436
tt0058150	nm0357891
tt0058154	nm0591486
tt0058167	nm0755963
tt0059652	nm0626561
tt0059971	nm0336139
tt0059971	nm0326360
tt0059971	nm0652631
tt0059971	nm0125111
tt0059971	nm0334353
tt0059971	nm0671984
tt0060302	nm0528927
tt0060710	nm0957612
tt0061156	nm0159201
tt0061320	nm0677880
tt0061913	nm0412235
tt0061913	nm0459017
tt0061913	nm0500988
tt0061913	nm0889513
tt0061913	nm0000419
tt0061913	nm0003408
tt0061913	nm0720297
tt0061960	nm0337885
tt0061985	nm0664846
tt0062574	nm0316830
tt0062574	nm0149548
tt0062574	nm0765856
tt0062574	nm0828720
tt0062574	nm0001928
tt0062574	nm0384342
tt0062574	nm0397526
tt0062574	nm0512327
tt0062574	nm0110133
tt0062574	nm0240439
tt0062574	nm0278677
tt0062574	nm0317042
tt0062706	nm0198014
tt0062958	nm0013972
tt0063578	nm0269993
tt0063895	nm0039453
tt0063895	nm0614516
tt0063895	nm0877417
tt0063895	nm0835786
tt0064294	nm0335133
tt0064342	nm0240154
tt0064588	nm0001202
tt0064719	nm0520640
tt0065052	nm0688076
tt0065157	nm0369240
tt0065157	nm0462430
tt0065184	nm0661577
tt0066064	nm0425593
tt0066477	nm0156966
tt0066808	nm0000095
tt0067189	nm0396951
tt0067189	nm0775649
tt0067229	nm0244407
tt0067411	nm0000265
tt0067896	nm0274659
tt0068003	nm0151653
tt0068268	nm0226244
tt0068323	nm0001627
tt0068323	nm0765121
tt0068361	nm0000320
tt0068415	nm0546672
tt0069114	nm0518589
tt0070091	nm0330036
tt0070185	nm0702260
tt0071149	nm0047455
tt0071559	nm0752982
tt0072288	nm0001047
tt0072752	nm0097259
tt0073569	nm0451846
tt0073840	nm0121169
tt0074739	nm0181741
tt0075730	nm0953130
tt0075923	nm0920862
tt0075932	nm0330848
tt0076141	nm0000316
tt0076406	nm0598363
tt0077372	nm0730422
tt0077617	nm0692872
tt0078269	nm0241174
tt0078269	nm0000436
tt0078388	nm0572957
tt0079055	nm0440171
tt0080058	nm0480575
tt0080058	nm0144758
tt0080065	nm0457754
tt0080274	nm0518719
tt0080556	nm0000713
tt0080744	nm0872809
tt0080868	nm0001001
tt0080932	nm1280228
tt0081386	nm0737425
tt0081506	nm0396884
tt0081506	nm0593014
tt0081530	nm0781507
tt0081539	nm0398739
tt0082111	nm0000697
tt0082127	nm0496694
tt0082779	nm0923613
tt0082910	nm0039890
tt0082910	nm0236973
tt0082910	nm0000116
tt0083099	nm0000921
tt0084494	nm0769615
tt0084616	nm0164102
tt0084854	nm0353592
tt0084854	nm0001361
tt0084987	nm0391905
tt0084987	nm0300275
tt0084987	nm1223997
tt0084987	nm0488289
tt0084987	nm1575977
tt0084987	nm0925840
tt0084987	nm0104172
tt0084987	nm0732794
tt0084987	nm1353167
tt0084987	nm1356501
tt0084987	nm2805802
tt0084987	nm1789994
tt0084987	nm0323758
tt0084987	nm0241017
tt0084987	nm2385770
tt0084987	nm1425385
tt0084987	nm0601095
tt0084987	nm1147348
tt0084987	nm1020303
tt0084987	nm1215179
tt0084987	nm2362438
tt0084987	nm0149491
tt0084987	nm0908095
tt0084987	nm0936117
tt0084987	nm1466274
tt0084987	nm1317983
tt0084987	nm0522656
tt0084987	nm0006640
tt0084987	nm0600503
tt0084987	nm0662091
tt0084987	nm0924880
tt0084987	nm0388338
tt0084987	nm0490838
tt0084987	nm0215617
tt0084987	nm0267862
tt0084987	nm0115513
tt0084987	nm0665840
tt0084987	nm0536573
tt0084987	nm0461158
tt0084987	nm0797928
tt0084987	nm0182978
tt0084987	nm0929391
tt0084987	nm0942996
tt0084987	nm0801111
tt0084987	nm1051466
tt0084987	nm0454590
tt0084987	nm0808233
tt0084987	nm0703745
tt0084987	nm0989662
tt0084987	nm0857280
tt0084987	nm0235196
tt0084987	nm0249928
tt0084987	nm0797545
tt0084987	nm0272547
tt0084987	nm0404241
tt0084987	nm0583628
tt0084987	nm0794868
tt0084987	nm0533988
tt0084987	nm0852019
tt0084987	nm1310207
tt0084987	nm0680671
tt0084987	nm0756057
tt0084987	nm0339543
tt0084987	nm0041118
tt0084987	nm0834378
tt0084987	nm0167171
tt0084987	nm0498722
tt0084987	nm0557345
tt0084987	nm1274778
tt0084987	nm0341038
tt0084987	nm2218536
tt0084987	nm0090878
tt0084987	nm0606807
tt0084987	nm0392600
tt0084987	nm0444606
tt0084987	nm0765112
tt0084987	nm1025274
tt0084987	nm0080424
tt0084987	nm0177370
tt0084987	nm0035840
tt0084987	nm0889571
tt0084987	nm0068007
tt0084987	nm0909532
tt0084987	nm0308659
tt0084987	nm0792012
tt0084987	nm0876448
tt0084987	nm0266390
tt0084987	nm0545169
tt0084987	nm0233806
tt0084987	nm1157490
tt0084987	nm0168314
tt0084987	nm0822043
tt0084987	nm0027413
tt0084987	nm0363865
tt0084987	nm0425389
tt0084987	nm0203786
tt0084987	nm0383539
tt0084987	nm0384879
tt0084987	nm0360324
tt0084987	nm0528001
tt0084987	nm0858726
tt0084987	nm0125092
tt0084987	nm0495148
tt0084987	nm0106284
tt0084987	nm0148115
tt0084987	nm0241978
tt0084987	nm1471376
tt0084987	nm0101748
tt0084987	nm0509035
tt0084987	nm0539958
tt0084987	nm0102873
tt0084987	nm0793455
tt0084987	nm0246806
tt0084987	nm0051987
tt0084987	nm1329871
tt0084987	nm0204209
tt0084987	nm0913481
tt0084987	nm0053475
tt0084987	nm0323795
tt0084987	nm0644397
tt0084987	nm0362395
tt0084987	nm0369949
tt0084987	nm0109952
tt0084987	nm1398781
tt0084987	nm0715240
tt0084987	nm0278172
tt0084987	nm1491597
tt0084987	nm0081590
tt0084987	nm0032495
tt0084987	nm0502727
tt0084987	nm0881391
tt0084987	nm0533559
tt0084987	nm0680522
tt0084987	nm0144353
tt0084987	nm0338369
tt0084987	nm0371342
tt0084987	nm0025504
tt0084987	nm0912170
tt0084987	nm0875992
tt0084987	nm0281865
tt0084987	nm0201516
tt0084987	nm0398275
tt0084987	nm0090141
tt0084987	nm0607701
tt0084987	nm0011225
tt0084987	nm1287855
tt0084987	nm0036785
tt0084987	nm1467903
tt0084987	nm1726674
tt0084987	nm0030362
tt0084987	nm0365800
tt0084987	nm0282196
tt0084987	nm0838725
tt0084987	nm0394864
tt0084987	nm0242196
tt0084987	nm0946734
tt0084987	nm0154913
tt0084987	nm0793207
tt0084987	nm0615464
tt0084987	nm0011241
tt0084987	nm1191303
tt0084987	nm0940653
tt0084987	nm0464346
tt0084987	nm0371601
tt0084987	nm0897587
tt0084987	nm0449871
tt0084987	nm0005614
tt0084987	nm0086051
tt0084987	nm0490594
tt0084987	nm0066596
tt0084987	nm0263046
tt0084987	nm0131801
tt0084987	nm1974986
tt0084987	nm0724047
tt0084987	nm0589284
tt0084987	nm0112702
tt0084987	nm0219765
tt0084987	nm0805059
tt0084987	nm0269892
tt0084987	nm0699118
tt0084987	nm0362686
tt0084987	nm1132467
tt0084987	nm1564779
tt0084987	nm0263168
tt0084987	nm0567680
tt0084987	nm1243057
tt0084987	nm0787725
tt0084987	nm0047730
tt0084987	nm0668350
tt0084987	nm1317262
tt0084987	nm0900078
tt0084987	nm0399630
tt0084987	nm2233924
tt0084987	nm0282451
tt0084987	nm0522327
tt0084987	nm0683478
tt0084987	nm0801402
tt0084987	nm0929151
tt0084987	nm0936451
tt0084987	nm0486010
tt0084987	nm0047458
tt0084987	nm0936358
tt0084987	nm0638366
tt0084987	nm0573475
tt0084987	nm1089472
tt0084987	nm0203712
tt0084987	nm0148116
tt0084987	nm0000944
tt0084987	nm0698807
tt0084987	nm0873541
tt0084987	nm2751398
tt0084987	nm0025847
tt0084987	nm0121169
tt0084987	nm0318448
tt0084987	nm0358327
