title_id	ordering	type
tt0000017	4	imdbDisplay
tt0000019	2	original
tt0000023	1	imdbDisplay
tt0000026	12	imdbDisplay
tt0000026	8	original
tt0000041	9	imdbDisplay
tt0000044	1	original
tt0000082	2	original
tt0000083	3	imdbDisplay
tt0000092	1	imdbDisplay
tt0000107	1	imdbDisplay
tt0000108	3	original
tt0000109	1	original
tt0000138	2	imdbDisplay
tt0000153	4	original
tt0000158	1	imdbDisplay
tt0000182	2	original
tt0000182	6	imdbDisplay
tt0000198	1	imdbDisplay
tt0000203	1	original
tt0000212	1	imdbDisplay
tt0000215	1	original
tt0000218	9	original
tt0000242	3	original
tt0000265	6	original
tt0000266	1	original
tt0000269	5	imdbDisplay
tt0000273	1	imdbDisplay
tt0000275	2	original
tt0000288	1	imdbDisplay
tt0000309	4	original
tt0000322	2	imdbDisplay
tt0000325	2	imdbDisplay
tt0000357	2	imdbDisplay
tt0000368	4	original
tt0000374	1	original
tt0000374	2	imdbDisplay
tt0000404	2	imdbDisplay
tt0000410	3	original
tt0000413	3	imdbDisplay
tt0000414	2	imdbDisplay
tt0000416	1	imdbDisplay
tt0000417	2	imdbDisplay
tt0000417	42	imdbDisplay
tt0000421	1	imdbDisplay
tt0000439	8	alternative
tt0000443	1	imdbDisplay
tt0000447	4	imdbDisplay
tt0000455	9	imdbDisplay
tt0000490	2	imdbDisplay
tt0000492	1	imdbDisplay
tt0000500	1	original
tt0000504	2	original
tt0000561	3	imdbDisplay
tt0000584	1	imdbDisplay
tt0000590	1	imdbDisplay
tt0000612	1	imdbDisplay
tt0000612	2	original
tt0000697	3	imdbDisplay
tt0000707	1	original
tt0000715	1	original
tt0000718	2	original
tt0000723	1	imdbDisplay
tt0000746	1	imdbDisplay
tt0000748	3	imdbDisplay
tt0000749	8	imdbDisplay
tt0000758	2	original
tt0000769	2	original
tt0000775	4	imdbDisplay
tt0000811	2	original
tt0000813	2	original
tt0000816	1	original
tt0000816	2	imdbDisplay
tt0000832	2	imdbDisplay
tt0000847	1	alternative
tt0000848	5	imdbDisplay
tt0000863	3	imdbDisplay
tt0000871	1	imdbDisplay
tt0000883	4	imdbDisplay
tt0000887	1	original
tt0000890	3	imdbDisplay
tt0000892	2	imdbDisplay
tt0000922	1	imdbDisplay
tt0000946	1	imdbDisplay
tt0000946	3	imdbDisplay
tt0000963	2	original
tt0000966	5	original
tt0000976	5	imdbDisplay
tt0000984	1	original
tt0000988	1	original
tt0000992	1	original
tt0001036	2	imdbDisplay
tt0001043	2	imdbDisplay
tt0001049	2	original
tt0001061	1	imdbDisplay
tt0001062	3	original
tt0001083	5	imdbDisplay
tt0001093	1	original
tt0001097	1	imdbDisplay
tt0001105	11	imdbDisplay
tt0001107	1	original
tt0001125	1	original
tt0001134	2	original
tt0001162	1	imdbDisplay
tt0001174	2	imdbDisplay
tt0001179	1	original
tt0001185	3	original
tt0001192	3	imdbDisplay
tt0001208	2	original
tt0001212	1	original
tt0001231	1	original
tt0001247	1	imdbDisplay
tt0001254	2	original
tt0001282	2	original
tt0001304	1	original
tt0001310	1	imdbDisplay
tt0001315	2	imdbDisplay
tt0001341	1	imdbDisplay
tt0001351	1	imdbDisplay
tt0001363	2	imdbDisplay
tt0001410	2	original
tt0001426	1	imdbDisplay
tt0001450	1	original
tt0001459	2	imdbDisplay
tt0001459	3	imdbDisplay
tt0001485	2	original
tt0001487	2	imdbDisplay
tt0001524	2	imdbDisplay
tt0001604	1	imdbDisplay
tt0001614	1	imdbDisplay
tt0001615	2	original
tt0001622	1	original
tt0001640	2	imdbDisplay
tt0001666	2	original
tt0001705	2	imdbDisplay
tt0001715	3	imdbDisplay
tt0001719	2	imdbDisplay
tt0001742	1	original
tt0001742	3	imdbDisplay
tt0001772	1	imdbDisplay
tt0001777	3	imdbDisplay
tt0001795	1	imdbDisplay
tt0001830	1	imdbDisplay
tt0001840	2	original
