title_id	ordering	attribute
tt0027615	6	literal title
tt0027633	5	transliterated title
tt0027653	2	literal title
tt0027900	1	series title
tt0028016	8	original subtitled version
tt0028021	8	original subtitled version
tt0028207	6	theatrical title
tt0028281	3	literal English title
tt0028355	12	literal title
tt0028356	8	transliterated title
tt0028377	4	poster title
tt0028445	13	original subtitled version
tt0028464	6	informal literal title
tt0028584	1	reissue title
tt0028603	6	premiere title
tt0028605	4	literal title
tt0028718	2	series title
tt0028776	6	reissue title
tt0028782	2	transliterated title
tt0028847	3	literal English title
tt0028861	1	literal title
tt0028872	23	literal title
tt0028882	7	literal title
tt0028953	17	long title
tt0028992	4	theatrical title
tt0029047	28	transliterated title
tt0029080	8	theatrical title
tt0029098	1	literal title
tt0029245	6	literal title
tt0029321	5	rerun title
tt0029328	15	reissue title
tt0029394	13	original subtitled version
tt0029450	3	literal title
tt0029453	17	literal title
tt0029511	13	transliterated title
tt0029526	17	transliterated title
tt0029584	6	reissue title
tt0029584	9	original subtitled version
tt0029588	24	transliterated title
tt0029641	15	theatrical title
tt0029693	8	literal title
tt0029747	22	reissue title
tt0029808	22	literal title
tt0029932	3	video box title
tt0029954	5	series title
tt0029969	2	series title
tt0030127	2	transliterated title
tt0030140	7	transliterated title
tt0030180	12	transliterated title
tt0030182	13	literal title
tt0030264	3	transliterated title
tt0030522	19	transliterated title
tt0030528	18	transliterated title
tt0030643	11	alternative spelling
tt0030696	14	transliterated title
tt0030727	5	transliterated title
tt0030744	11	reissue title
tt0030775	19	transliterated title
tt0030796	3	theatrical title
tt0030854	12	transliterated title
tt0031022	13	short title
tt0031047	18	transliterated title
tt0031087	3	series title
tt0031157	20	literal title
tt0031252	9	original subtitled version
tt0031299	15	literal title
tt0031302	17	transliterated title
tt0031322	12	transliterated title
tt0031557	2	transliterated title
tt0031590	3	poster title
tt0031693	18	theatrical title
tt0031697	5	modern translation
tt0031747	36	cable TV title
tt0031842	7	reissue title
tt0031867	19	informal title
tt0031890	15	transliterated title
tt0031902	3	informal literal English title
tt0031917	2	poster title
tt0031973	25	transliterated title
tt0031979	3	literal title
tt0032007	32	original subtitled version
tt0032028	15	reissue title
tt0032030	11	poster title
tt0032086	19	long title
tt0032256	14	transliterated title
tt0032339	37	reissue title
tt0032675	2	series title
tt0032728	29	reissue title
tt0032891	1	poster title
tt0033054	3	reissue title
tt0033119	12	transliterated title
tt0033226	11	rerun title
tt0033285	2	series title
tt0033346	8	literal English title
tt0033436	20	transliterated title
tt0033513	2	transliterated title
tt0033562	11	transliterated title
tt0033616	13	transliterated title
tt0033627	26	new title
tt0033822	9	reissue title
tt0033825	9	reissue title
tt0033871	14	reissue title
tt0033880	2	literal title
tt0034063	10	literal title
tt0034081	2	transliterated title
tt0034184	7	transliterated title
tt0034266	11	original subtitled version
tt0034273	8	transliterated title
tt0034413	3	informal title
tt0034418	2	literal title
tt0034746	16	transliterated title
tt0034753	12	dubbed version
tt0034778	15	poster title
tt0034855	12	reissue title
tt0034870	4	series title
tt0034891	3	transliterated title
tt0034919	21	transliterated title
tt0034928	40	reissue title
tt0034941	11	reissue title
tt0034965	4	reissue title
tt0035037	2	series title
tt0035126	6	transliterated title
tt0035209	14	transliterated title
tt0035230	12	new title
tt0035279	38	transliterated title
tt0035298	3	original subtitled version
tt0035322	3	transliterated title
tt0035386	8	transliterated title
tt0035447	15	dubbed version
tt0035815	3	informal literal title
tt0035958	7	new title
tt0036056	2	transliterated title
tt0036067	3	video box title
tt0036236	10	literal English title
tt0036236	16	transliterated title
tt0036447	2	transliterated title
tt0036575	15	literal English title
tt0036891	4	original subtitled version
tt0036946	5	alternative spelling
tt0037114	6	transliterated title
tt0037120	11	premiere title
tt0037176	4	new title
tt0037278	4	literal title
tt0037320	2	informal English title
tt0037373	20	poster title
tt0037449	23	cut version
tt0037479	12	informal English title
tt0037549	9	new title
tt0037627	12	literal title
tt0037746	5	cable TV title
tt0037801	5	transliterated title
tt0038009	5	short title
tt0038151	9	reissue title
tt0038267	2	informal English title
tt0038289	17	transliterated title
tt0038304	9	theatrical title
tt0038370	9	transliterated title
tt0038492	26	transliterated title
tt0038494	13	DVD box title
tt0038508	14	literal title
tt0038594	13	reissue title
tt0038599	5	dubbed version
tt0038684	5	new title
tt0038693	5	transliterated title
tt0038765	14	transliterated title
tt0038773	6	transliterated title
tt0038854	26	reissue title
tt0038969	10	cable TV title
tt0039131	10	reissue title
tt0039169	32	literal title
tt0039233	5	transliterated title
tt0039281	15	transliterated title
tt0039372	12	reissue title
tt0039373	2	DVD box title
tt0039377	12	dubbed version
tt0039381	1	transliterated title
tt0039396	7	transliterated title
tt0039434	3	new title
tt0039467	7	informal literal title
tt0039500	6	transliterated title
tt0039589	8	premiere title
tt0039596	6	video box title
tt0039600	12	transliterated title
tt0039689	43	premiere title
tt0039691	8	poster title
tt0039737	24	new title
tt0039776	14	informal literal title
tt0039825	31	dubbed version
tt0039846	4	premiere title
tt0040068	5	reissue title
tt0040137	1	informal title
tt0040364	11	transliterated title
tt0040376	8	literal title
tt0040382	3	transliterated title
tt0040416	22	transliterated title
tt0040497	23	alternative spelling
tt0040594	14	complete title
tt0040746	18	alternative spelling
tt0040751	20	literal title
tt0040769	6	literal title
tt0040774	6	transliterated title
tt0040794	6	copyright title
tt0040927	3	reissue title
tt0041090	30	transliterated title
tt0041094	4	premiere title
tt0041162	10	original subtitled version
tt0041200	6	dubbed version
tt0041260	16	transliterated title
tt0041414	9	transliterated title
tt0041495	2	pre-release title
tt0041574	3	informal English title
tt0041640	6	transliterated title
tt0041676	7	transliterated title
tt0041786	4	transliterated title
tt0041831	13	alternative spelling
tt0041859	19	informal title
tt0041947	8	original subtitled version
tt0041979	5	alternative spelling
tt0042027	1	premiere title
tt0042032	10	video box title
tt0042211	13	first part title
tt0042249	2	transliterated title
tt0042265	26	literal title
tt0042274	6	transliterated title
tt0042279	22	transliterated title
tt0042384	1	literal title
tt0042575	9	16mm release title
tt0042646	15	transliterated title
tt0042683	5	new title
tt0042726	4	literal English title
tt0042739	6	transliterated title
tt0042788	31	poster title
tt0042809	13	transliterated title
tt0042895	35	complete title
tt0042901	22	transliterated title
tt0042906	7	original subtitled version
tt0042951	3	transliterated title
tt0043004	5	literal title
tt0043025	7	literal title
tt0043053	17	transliterated title
tt0043156	7	poster title
tt0043408	2	poster title
tt0043434	8	alternative spelling
tt0043440	1	literal title
tt0043465	28	complete title
tt0043529	7	transliterated title
tt0043544	15	reissue title
tt0043586	5	literal title
tt0043616	3	informal literal title
tt0043680	6	short title
tt0043686	24	transliterated title
tt0043707	6	transliterated title
tt0043707	7	informal literal title
tt0043767	1	cable TV title
tt0043768	2	transliterated title
tt0043914	21	reissue title
tt0043968	15	transliterated title
tt0043969	3	series title
tt0044022	1	short title
tt0044023	2	dubbed version
tt0044106	15	transliterated title
tt0044167	3	original script title
tt0044178	10	transliterated title
tt0044263	10	rerun title
tt0044272	2	rerun title
tt0044330	12	new title
tt0044351	6	transliterated title
tt0044419	26	transliterated title
tt0044444	3	transliterated title
tt0044446	13	transliterated title
tt0044549	4	alternative spelling
tt0044672	41	original subtitled version
tt0044789	21	transliterated title
tt0044852	18	transliterated title
tt0044871	2	original subtitled version
tt0044885	9	literal title
tt0044937	8	complete title
tt0044981	3	cut version
tt0045046	1	alternative spelling
tt0045070	27	literal title
tt0045153	4	new title
tt0045156	1	poster title
tt0045241	14	literal title
tt0045487	21	reissue title
tt0045492	19	transliterated title
tt0045494	12	poster title
tt0045505	8	poster title
tt0045531	6	transliterated title
tt0045589	9	transliterated title
tt0045592	2	transliterated title
tt0045641	9	theatrical title
tt0045698	13	censored version
tt0045718	20	alternative spelling
tt0045737	5	informal literal title
tt0045746	7	transliterated title
tt0045793	50	transliterated title
tt0045798	4	transliterated title
tt0045898	10	transliterated title
tt0045977	2	literal title
tt0045981	6	transliterated title
tt0046065	1	long title
tt0046214	6	cable TV title
tt0046233	21	reissue title
tt0046239	9	transliterated title
tt0046303	31	transliterated title
tt0046309	15	transliterated title
tt0046317	5	transliterated title
tt0046328	14	transliterated title
tt0046333	8	alternative transliteration
tt0046346	1	original subtitled version
tt0046402	7	literal title
tt0046404	9	transliterated title
tt0046407	2	literal title
tt0046457	10	transliterated title
tt0046461	12	transliterated title
tt0046547	19	transliterated title
tt0046565	8	informal literal English title
tt0046618	5	syndication title
tt0046652	6	premi̬re title
tt0046683	1	subtitle
tt0046715	17	literal title
tt0046737	10	literal title
tt0046911	39	transliterated title
tt0046949	14	transliterated title
tt0046969	14	cable TV title
tt0047106	3	premiere title
tt0047272	15	original subtitled version
tt0047278	13	transliterated title
tt0047315	3	Venice film festival title
tt0047336	3	complete title
tt0047528	47	literal English title
tt0047550	5	transliterated title
tt0047583	7	transliterated title
tt0047584	3	original subtitled version
tt0047608	2	literal title
tt0047659	5	transliterated title
tt0047788	2	informal literal title
tt0047795	29	alternative spelling
tt0047808	5	original subtitled version
tt0047834	32	new title
tt0047849	15	new title
tt0047892	23	transliterated title
tt0047898	23	dubbed version
tt0048090	1	cable TV title
tt0048194	4	theatrical title
tt0048204	32	transliterated title
tt0048255	12	orthographically correct title
tt0048291	9	transliterated title
tt0048301	7	transliterated title
tt0048330	11	poster title
tt0048340	30	informal literal title
tt0048346	16	original subtitled version
tt0048394	29	poster title
tt0048408	2	literal title
tt0048432	29	complete title
tt0048432	8	transliterated title
tt0048445	2	transliterated title
tt0048469	8	transliterated title
tt0048475	3	transliterated title
tt0048497	5	transliterated title
tt0048533	11	transliterated title
tt0048573	8	transliterated title
tt0048591	9	dubbed version
tt0048960	14	alternative spelling
tt0048971	2	informal literal title
tt0048980	23	new title
tt0049009	8	poster title
tt0049054	4	series title
tt0049062	6	reissue title
tt0049096	29	literal title
tt0049157	6	literal title
tt0049182	24	transliterated title
tt0049224	16	transliterated title
tt0049234	1	copyright title
tt0049271	7	reissue title
tt0049272	4	complete title
tt0049375	1	informal English title
tt0049470	34	complete title
tt0049547	9	original subtitled version
tt0049603	6	informal English title
tt0049627	15	theatrical title
tt0049645	6	theatrical title
tt0049659	4	short title
tt0049678	6	transliterated title
tt0049769	9	transliterated title
tt0049788	2	transliterated title
tt0049823	7	informal title
tt0049828	11	transliterated title
tt0049848	6	transliterated title
tt0050192	10	theatrical title
tt0050235	8	promotional title
tt0050355	9	original script title
tt0050407	34	alternative spelling
tt0050412	2	transliterated title
tt0050431	4	transliterated title
tt0050560	9	transliterated title
tt0050568	8	theatrical title
tt0050617	5	transliterated title
tt0050628	6	transliterated title
tt0050684	4	transliterated title
tt0050703	5	informal title
tt0050714	3	informal English title
tt0050748	7	reissue title
tt0050899	7	transliterated title
tt0050905	6	reissue title
tt0050986	53	Venice film festival title
tt0051007	3	transliterated title
tt0051114	6	literal title
tt0051114	9	premiere title
tt0051168	8	transliterated title
tt0051201	17	original subtitled version
tt0051337	32	poster title
tt0051337	5	new title
tt0051365	6	original subtitled version
tt0051367	2	literal title
tt0051400	5	transliterated title
tt0051452	12	rerun title
tt0051516	18	complete title
tt0051532	13	transliterated title
tt0051572	2	transliterated title
tt0051690	12	transliterated title
tt0051724	14	reissue title
tt0051744	33	trailer title
tt0051753	3	transliterated title
tt0051769	1	transliterated title
tt0051806	1	transliterated title
tt0051808	18	literal title
tt0051861	7	transliterated title
tt0051908	2	transliterated title
tt0051927	5	alternative spelling
tt0052110	17	transliterated title
tt0052159	5	video box title
tt0052270	8	informal title
tt0052295	40	transliterated title
tt0052327	9	literal title
tt0052464	6	TV listings title
tt0052493	7	syndication title
tt0052570	8	video box title
tt0052573	11	theatrical title
tt0052602	11	DVD box title
tt0052637	7	informal title
tt0052704	9	original subtitled version
tt0052724	26	literal title
tt0052726	8	informal title
tt0052791	8	theatrical title
tt0052831	2	informal literal English title
tt0052918	26	transliterated title
tt0052927	6	transliterated title
tt0052939	6	literal title
tt0052941	21	transliterated title
tt0052948	23	transliterated title
tt0052950	24	reissue title
tt0052968	7	informal title
tt0053063	10	transliterated title
tt0053103	13	poster title
tt0053133	2	transliterated title
tt0053167	1	transliterated title
tt0053196	4	theatrical title
tt0053207	5	alternative spelling
tt0053285	45	reissue title
tt0053317	17	theatrical title
tt0053334	6	transliterated title
tt0053354	27	alternative spelling
tt0053374	1	transliterated title
tt0053432	11	subtitle
tt0053434	35	transliterated title
tt0053472	50	new title
tt0053488	21	dubbed version
tt0053557	5	alternative spelling
tt0053561	8	dubbed version
tt0053717	27	transliterated title
tt0053752	14	transliterated title
tt0053775	17	rerun title
tt0053853	1	alternative transliteration
tt0053961	4	transliterated title
tt0054013	13	transliterated title
tt0054018	3	theatrical title
tt0054058	24	original subtitled version
tt0054135	48	alternative spelling
tt0054140	4	transliterated title
tt0054156	7	transliterated title
tt0054185	8	transliterated title
tt0054186	3	theatrical title
tt0054197	1	transliterated title
tt0054354	15	informal title
tt0054370	15	transliterated title
tt0054391	1	transliterated title
tt0054407	3	new title
tt0054412	11	literal title
tt0054423	3	reissue title
tt0054452	16	literal English title
tt0054470	1	alternative transliteration
tt0054542	1	closing credits title
tt0054630	7	transliterated title
tt0054650	16	reissue title
tt0054651	16	transliterated title
tt0054757	22	DVD box title
tt0054788	33	transliterated title
tt0054821	3	poster title
tt0054823	11	poster title
tt0054913	12	bootleg title
tt0054924	12	transliterated title
tt0054928	7	transliterated title
tt0054938	20	reissue title
tt0055014	4	informal literal title
tt0055034	5	transliterated title
tt0055064	15	transliterated title
tt0055068	7	informal literal English title
tt0055070	2	transliterated title
tt0055074	5	transliterated title
tt0055076	4	original subtitled version
tt0055148	7	poster title
tt0055151	4	reissue title
tt0055195	5	transliterated title
tt0055207	12	poster title
tt0055207	18	complete title
tt0055222	2	transliterated title
tt0055254	27	reissue title
tt0055279	3	transliterated title
tt0055329	18	rerun title
tt0055348	18	transliterated title
tt0055447	8	literal title
tt0055479	18	dubbed version
tt0055547	3	original subtitled version
tt0055562	8	promotional title
tt0055605	12	transliterated title
tt0055618	13	reissue title
tt0055683	8	transliterated title
tt0055747	4	segment title
tt0055747	8	segment title
tt0055756	5	transliterated title
tt0055819	16	alternative spelling
tt0055904	18	premiere title
tt0056058	24	original subtitled version
tt0056079	15	original subtitled version
tt0056110	2	transliterated title
tt0056111	7	transliterated title
tt0056117	1	original subtitled version
tt0056133	3	review title
tt0056175	7	transliterated title
tt0056241	23	new title
tt0056265	10	literal title
tt0056286	7	informal title
tt0056356	8	informal title
tt0056440	7	transliterated title
tt0056504	32	long title
tt0056548	2	orthographically correct title
tt0056751	5	dubbed version
tt0056799	12	alternative spelling
tt0056869	26	new title
tt0056893	15	transliterated title
tt0056950	14	DVD menu title
tt0056994	3	poster title
tt0057215	9	literal title
tt0057380	2	reissue title
tt0057392	5	literal title
tt0057427	26	poster title
tt0057437	5	literal English title
tt0057543	18	transliterated title
tt0057616	1	poster title
tt0057713	6	literal English title
tt0057717	10	alternative transliteration
tt0057780	4	transliterated title
tt0057796	11	DVD box title
tt0057894	10	new title
tt0057939	1	informal literal title
tt0057999	3	transliterated title
tt0058006	9	literal title
tt0058061	14	dubbed version
tt0058102	2	bowdlerized title
tt0058126	7	transliterated title
tt0058150	55	alternative spelling
tt0058169	11	transliterated title
tt0058301	9	new title
tt0058310	12	complete title
tt0058452	12	transliterated title
tt0058480	18	new title
tt0058507	18	literal title
tt0058587	2	poster title
tt0058589	9	cable TV title
tt0058665	3	informal title
tt0058712	11	transliterated title
tt0058830	2	rerun title
tt0058859	13	reissue title
tt0058983	17	8mm release title
tt0058985	20	transliterated title
tt0059045	7	video box title
tt0059072	1	transliterated title
tt0059075	1	informal literal title
tt0059080	14	transliterated title
tt0059125	36	segment title
tt0059134	1	poster title
tt0059161	3	long title
tt0059206	19	video box title
tt0059241	4	transliterated title
tt0059243	22	theatrical title
tt0059245	12	complete title
tt0059329	6	transliterated title
tt0059403	5	transliterated title
tt0059434	4	video box title
tt0059531	2	literal title
tt0059589	17	subtitle
tt0059596	8	video box title
tt0059637	5	trailer title
tt0059701	6	poster title
tt0059812	2	reissue title
tt0059825	37	new title
tt0059828	22	video box title
tt0059831	34	new title
tt0059856	4	literal title
tt0059885	34	video box title
tt0060026	9	promotional title
tt0060028	23	new title
tt0060073	27	video box title
tt0060182	19	video box title
tt0060185	1	transliterated title
tt0060196	17	new title
tt0060214	12	transliterated title
tt0060227	8	video box title
tt0060249	8	transliterated title
tt0060283	7	transliterated title
tt0060288	8	complete title
tt0060305	8	informal literal title
tt0060349	26	transliterated title
tt0060446	9	reissue title
tt0060449	10	transliterated title
tt0060475	23	original subtitled version
tt0060522	10	complete title
tt0060537	24	transliterated title
tt0060545	4	transliterated title
tt0060625	11	alternative spelling
tt0060637	6	transliterated title
tt0060660	8	transliterated title
tt0060661	16	cable TV title
tt0060748	14	original subtitled version
tt0060920	3	informal title
tt0060942	8	poster title
tt0061012	22	new title
tt0061014	30	transliterated title
tt0061024	23	transliterated title
tt0061040	1	reissue title
tt0061069	9	transliterated title
tt0061320	12	poster title
tt0061343	5	original subtitled version
tt0061478	6	literal title
tt0061493	10	transliterated title
tt0061521	2	poster title
tt0061549	5	cable TV title
tt0061576	54	informal literal title
tt0061683	25	alternative transliteration
tt0061715	10	transliterated title
tt0061722	10	transliterated title
tt0061795	8	literal English title
tt0061832	4	transliterated title
tt0061841	1	transliterated title
tt0061852	18	8mm release title
tt0061852	22	8mm release title
tt0061962	1	alternative spelling
tt0061976	16	complete title
tt0062032	9	transliterated title
tt0062037	12	transliterated title
tt0062080	1	poster title
tt0062099	10	video box title
tt0062114	11	transliterated title
tt0062137	21	segment title
tt0062179	10	original subtitled version
tt0062218	23	alternative transliteration
tt0062311	8	video box title
tt0062424	16	reissue title
tt0062429	25	reissue title
tt0062560	4	short title
tt0062614	5	subtitle
tt0062618	24	reissue title
tt0062620	4	alternative spelling
tt0062622	40	poster title
tt0062686	11	alternative transliteration
tt0062732	14	complete title
tt0062807	12	rerun title
tt0062807	24	alternative spelling
tt0062808	20	poster title
tt0062825	18	video box title
tt0062836	1	transliterated title
tt0062868	1	transliterated title
tt0062872	5	transliterated title
tt0062897	3	alternative transliteration
tt0062909	12	dubbed version
tt0062925	9	8mm release title
tt0062972	1	alternative spelling
tt0063007	1	theatrical title
tt0063013	11	alternative spelling
tt0063044	4	informal English title
tt0063090	18	racier version
tt0063106	4	series title
tt0063110	2	alternative transliteration
tt0063147	6	dubbed version
tt0063237	20	transliterated title
tt0063271	4	transliterated title
tt0063440	10	literal English title
tt0063442	62	original subtitled version
tt0063507	7	theatrical title
tt0063572	12	transliterated title
tt0063578	3	long title
tt0063679	11	Pay-TV title
tt0063715	21	premiere title
tt0063809	7	transliterated title
tt0063944	3	new title
tt0063953	1	informal literal title
tt0064053	1	first part title
tt0064096	7	transliterated title
tt0064106	16	new title
tt0064151	5	transliterated title
tt0064212	5	complete title
tt0064243	8	transliterated title
tt0064256	15	reissue title
tt0064273	17	transliterated title
tt0064275	1	poster title
tt0064290	7	dubbed version
tt0064391	24	long title
tt0064415	18	transliterated title
tt0064458	10	poster title
tt0064547	5	poster title
tt0064550	5	premi̬re title
tt0064571	42	reissue title
tt0064574	1	transliterated title
tt0064579	7	transliterated title
tt0064582	6	new title
tt0064617	13	alternative transliteration
tt0064618	8	transliterated title
tt0064643	21	transliterated title
tt0064682	17	long title
tt0064682	20	video box title
tt0064698	12	transliterated title
tt0064728	21	reissue title
tt0064750	10	complete title
tt0064757	20	complete title
tt0064777	10	reissue title
tt0064789	1	transliterated title
tt0064837	10	literal title
tt0064837	13	literal title
tt0064839	2	poster title
tt0064876	8	transliterated title
tt0064934	3	transliterated title
tt0064964	16	alternative spelling
tt0064964	21	video box title
tt0065112	20	complete title
tt0065134	29	alternative spelling
tt0065143	37	reissue title
tt0065156	2	poster title
tt0065206	13	new title
tt0065235	54	literal title
tt0065331	15	literal title
tt0065331	8	literal title
tt0065413	22	informal literal title
tt0065413	7	transliterated title
tt0065474	5	transliterated title
tt0065541	3	informal English title
tt0065569	3	review title
tt0065593	20	long title
tt0065595	6	new title
tt0065600	33	literal title
tt0065614	7	complete title
tt0065615	4	complete title
tt0065646	11	video box title
tt0065677	5	reissue title
tt0065718	3	promotional title
tt0065802	3	transliterated title
tt0065832	30	DVD box title
tt0065856	17	theatrical title
tt0065874	2	literal title
tt0065887	9	trailer title
tt0065889	29	original subtitled version
tt0065890	8	transliterated title
tt0065898	1	premi̬re title
tt0065967	18	video box title
tt0065969	18	DVD box title
tt0066018	5	alternative spelling
tt0066063	25	reissue title
tt0066067	2	poster title
tt0066096	13	video box title
tt0066104	11	poster title
tt0066141	22	transliterated title
tt0066152	1	transliterated title
tt0066160	10	literal translation of working title
tt0066249	9	transliterated title
tt0066256	6	dubbed version
tt0066331	5	alternative spelling
tt0066448	6	literal title
tt0066477	16	literal title
tt0066549	15	literal title
tt0066564	23	original subtitled version
tt0066565	16	transliterated title
tt0066617	5	transliterated title
tt0066667	11	informal title
tt0066781	1	alternative transliteration
tt0066815	9	video box title
tt0066826	26	original subtitled version
tt0066863	7	video box title
tt0066906	20	informal literal title
tt0066986	2	transliterated title
tt0067004	9	transliterated title
tt0067011	16	cable TV title
tt0067076	20	new title
tt0067108	32	reissue title
tt0067113	4	transliterated title
tt0067135	9	informal literal title
tt0067189	6	short title
tt0067254	6	new title
tt0067264	2	informal English title
tt0067315	28	transliterated title
tt0067321	15	cable TV title
tt0067382	22	poster title
tt0067388	1	transliterated title
tt0067395	9	rerun title
tt0067411	17	informal short title
tt0067609	3	transliterated title
tt0067656	7	transliterated title
tt0067713	19	reissue title
tt0067714	9	transliterated title
tt0067741	1	dubbed version
tt0067753	3	promotional title
tt0067814	7	literal title
tt0067881	21	transliterated title
tt0067901	10	transliterated title
tt0067909	2	8mm release title
tt0067959	29	transliterated title
tt0067988	5	DVD box title
tt0067990	3	video box title
tt0068041	7	informal literal title
tt0068082	3	long title
tt0068088	1	new title
tt0068159	8	transliterated title
tt0068205	11	new title
tt0068230	3	segment title
tt0068294	15	transliterated title
tt0068327	34	alternative spelling
tt0068346	12	poster title
tt0068379	10	alternative spelling
tt0068533	1	promotional title
tt0068544	23	video box title
tt0068551	3	poster title
tt0068559	9	dubbed version
tt0068640	4	pre-release title
tt0068680	1	anthology series
tt0068713	10	transliterated title
tt0068727	7	transliterated title
tt0068730	11	transliterated title
tt0068767	20	literal title
tt0068777	9	video box title
tt0068792	1	literal title
tt0068851	3	transliterated title
tt0068868	17	alternative spelling
tt0068870	22	literal title
