title_id	ordering	attribute
tt0000031	5	reissue title
tt0000070	14	informal title
tt0000495	3	literal title
tt0001396	2	literal title
tt0002639	5	informal title
tt0003110	3	alternative spelling
tt0003208	1	informal literal title
tt0003586	1	review title
tt0004210	24	reissue title
tt0004450	1	8mm release title
tt0004972	31	literal title
tt0005864	5	reissue title
tt0006242	1	reissue title
tt0006268	1	series title
tt0006309	1	16mm release title
tt0006349	5	informal literal title
tt0006414	28	reissue title
tt0006851	4	review title
tt0007145	20	literal title
tt0007237	3	informal literal title
tt0009104	2	alternative spelling
tt0009145	2	pre-release title
tt0009837	7	literal title
tt0010614	3	complete title
tt0010680	12	informal short title
tt0011000	9	informal literal title
tt0011519	5	complete title
tt0011710	2	original script title
tt0011839	4	informal literal title
tt0012029	3	informal title
tt0012086	7	promotional title
tt0012224	24	transliterated title
tt0012255	5	transliterated title
tt0012494	12	reissue title
tt0012945	13	transliterated title
tt0012998	2	literal title
tt0013086	39	first part title
tt0013140	6	transliterated title
tt0013442	59	recut version
tt0013443	4	dubbed version
tt0013571	3	alternative spelling
tt0014341	36	new title
tt0014701	8	new title
tt0014782	2	transliterated title
tt0014843	1	transliterated title
tt0014982	2	informal literal title
tt0015150	1	alternative spelling
tt0015526	4	reissue title
tt0015532	9	copyright title
tt0015624	19	alternative spelling
tt0015778	11	transliterated title
tt0015801	15	literal title
tt0015872	1	transliterated title
tt0015881	12	complete title
tt0015881	8	literal title
tt0016097	5	theatrical title
tt0016432	2	reissue title
tt0017013	2	review title
tt0017096	14	transliterated title
tt0017101	1	alternative spelling
tt0017136	39	restored version
tt0017448	18	short title
tt0017632	6	transliterated title
tt0017736	11	subtitle
tt0017879	3	transliterated title
tt0017900	12	literal title
tt0017911	8	new title
tt0018094	14	transliterated title
tt0018395	1	alternative spelling
tt0018423	10	transliterated title
tt0018533	5	transliterated title
tt0018613	3	original subtitled version
tt0018747	2	transliterated title
tt0018754	5	transliterated title
tt0018756	10	DVD box title
tt0018836	16	transliterated title
tt0018930	4	theatrical title
tt0019421	2	reissue title
tt0019504	19	literal title
tt0019616	3	literal title
tt0019650	2	series title
tt0019704	7	literal title
tt0019761	3	transliterated title
tt0020031	8	original subtitled version
tt0020032	1	original subtitled version
tt0020283	9	transliterated title
tt0020298	18	alternative spelling
tt0020320	4	original subtitled version
tt0020337	6	short title
tt0020341	3	original subtitled version
tt0020358	2	informal literal title
tt0020530	30	informal literal English title
tt0020572	9	original subtitled version
tt0020638	4	reissue title
tt0020685	1	series title
tt0020686	16	transliterated title
tt0020744	1	transliterated title
tt0020768	11	silent version
tt0021156	6	reissue title
tt0021273	1	poster title
tt0021339	2	informal alternative title
tt0021457	8	transliterated title
tt0021577	14	literal title
tt0021739	5	new title
tt0021815	4	informal literal title
tt0021853	4	transliterated title
tt0022095	8	transliterated title
tt0022114	7	transliterated title
tt0022136	5	new title
tt0022235	2	literal English title
tt0022295	6	new title
tt0022382	1	alternative spelling
tt0022430	6	pre-release title
tt0022594	10	informal literal title
tt0022695	3	premiere title
tt0022714	2	series title
tt0022726	4	premi̬re title
tt0022759	10	premiere title
tt0022801	3	transliterated title
tt0022905	8	literal title
tt0022914	2	series title
tt0023003	1	series title
tt0023185	13	transliterated title
tt0023190	2	transliterated title
tt0023238	4	reissue title
tt0023240	5	theatrical title
tt0023303	10	literal title
tt0023324	1	transliterated title
tt0023478	1	reissue title
tt0023527	4	poster title
tt0023581	1	premi̬re title
tt0023641	3	new title
tt0023736	6	informal literal title
tt0023831	1	series title
tt0023872	15	transliterated title
tt0023889	2	new title
tt0023983	2	complete title
tt0024013	4	transliterated title
tt0024046	8	complete title
tt0024069	12	reissue title
tt0024087	7	long title
tt0024090	11	transliterated title
tt0024210	19	transliterated title
tt0024219	14	reissue title
tt0024222	5	transliterated title
tt0024254	11	transliterated title
tt0024267	2	transliterated title
tt0024269	7	literal title
tt0024352	14	transliterated title
tt0024434	1	transliterated title
tt0024473	30	short title
tt0024481	21	original subtitled version
tt0024518	9	original subtitled version
tt0024594	5	transliterated title
tt0024603	6	informal alternative title
tt0024610	17	transliterated title
tt0024674	7	cable TV title
tt0024768	3	dubbed version
tt0024844	17	reissue title
tt0024958	11	transliterated title
tt0025053	3	informal literal title
tt0025085	4	transliterated title
tt0025109	4	poster title
tt0025139	11	informal English title
tt0025198	23	informal literal English title
tt0025219	1	literal title
tt0025323	5	literal title
tt0025353	1	review title
tt0025509	19	reissue title
tt0025588	4	literal title
tt0025604	4	alternative spelling
tt0025607	6	premiere title
tt0025932	4	complete title
tt0025962	1	transliterated title
tt0025969	13	DVD box title
tt0026010	3	YIVO translation
tt0026047	11	informal literal English title
tt0026164	9	reissue title
tt0026208	2	series title
tt0026320	17	transliterated title
tt0026369	1	series title
tt0026413	1	original subtitled version
tt0026457	5	complete title
tt0026486	4	series title
tt0026507	19	theatrical title
tt0026643	17	literal title
tt0026677	4	long title
tt0026710	7	16mm release title
tt0026781	10	original script title
tt0026989	2	YIVO translationreissue title
tt0026993	2	literal title
tt0027099	7	literal title
tt0027203	1	series title
tt0027231	4	subtitle
tt0027260	20	transliterated title
tt0027383	3	transliterated title
tt0027415	1	literal title
tt0027496	19	transliterated title
tt0027578	3	reissue title
tt0027592	3	literal title
