titleId	average_rating	num_votes
tt0000014	7.1	5446
tt0000017	4.6	323
tt0000019	5.1	31
tt0000023	5.7	1424
tt0000026	5.6	1527
tt0000031	5.5	997
tt0000041	6.7	1839
tt0000044	3.9	47
tt0000070	6.4	2628
tt0000082	4.6	51
tt0000083	4.4	34
tt0000092	4.2	31
tt0000107	4.8	29
tt0000108	4.3	541
tt0000109	4.5	525
tt0000138	6.4	1128
tt0000153	5.7	451
tt0000158	2.8	15
tt0000182	4.9	552
tt0000198	4.2	19
tt0000215	4.1	126
tt0000218	5.9	648
tt0000242	6.4	1206
tt0000265	4.3	142
tt0000269	4.8	134
tt0000273	5.5	625
tt0000288	5.2	195
tt0000309	6.1	895
tt0000357	5.8	455
tt0000368	6.8	22
tt0000410	6.7	1029
tt0000413	5.5	459
tt0000414	5.4	762
tt0000416	5.3	171
tt0000417	8.2	51572
tt0000439	7.3	19789
tt0000447	6.4	2514
tt0000455	6.8	1859
tt0000492	4.8	126
tt0000495	6.0	112
tt0000543	4.8	17
tt0000561	5.0	55
tt0000584	5.0	81
tt0000609	3.6	19
tt0000697	4.0	30
tt0000707	4.7	27
tt0000746	7.1	20
tt0000748	5.4	27
tt0000749	5.7	806
tt0000758	6.1	30
tt0000769	5.3	155
tt0000775	7.5	11
tt0000781	6.3	19
tt0000816	4.6	125
tt0000832	6.6	2539
tt0000833	6.4	698
tt0000847	5.6	16
tt0000848	5.6	24
tt0000871	5.7	114
tt0000887	4.9	49
tt0000890	6.9	33
tt0000892	5.4	73
tt0000922	5.5	108
tt0000946	4.4	77
tt0000966	5.6	347
tt0000976	3.9	20
tt0000988	4.8	23
tt0000992	4.4	15
tt0001036	2.6	12
tt0001049	3.5	17
tt0001061	6.3	50
tt0001062	6.2	1232
tt0001066	4.8	19
tt0001083	5.0	142
tt0001105	6.4	955
tt0001107	6.1	100
tt0001185	7.0	19
tt0001254	4.4	24
tt0001258	5.8	151
tt0001282	6.8	34
tt0001310	5.5	30
tt0001314	5.8	158
tt0001315	6.0	24
tt0001351	6.0	60
tt0001377	4.8	27
tt0001396	3.0	18
tt0001410	4.2	19
tt0001459	5.3	57
tt0001614	6.4	34
tt0001615	4.9	38
tt0001715	3.1	9
tt0001742	5.7	15
tt0001772	5.6	22
tt0001777	5.1	19
tt0001840	5.0	39
tt0001925	4.9	48
tt0001963	5.6	159
tt0001998	4.4	36
tt0002041	3.5	61
tt0002064	4.8	81
tt0002153	6.0	76
tt0002160	6.3	129
tt0002199	5.8	609
tt0002220	4.0	45
tt0002221	6.7	453
tt0002281	6.1	313
tt0002354	6.3	162
tt0002370	5.9	15
tt0002383	6.2	11
tt0002391	6.3	889
tt0002415	5.9	613
tt0002477	6.5	13
tt0002639	6.1	185
tt0002663	6.0	386
tt0002678	5.9	20
tt0002702	4.8	57
tt0002736	6.1	24
tt0002753	5.5	20
tt0002755	4.6	39
tt0002785	6.0	8
tt0002844	6.9	2360
tt0002973	5.9	20
tt0002983	6.0	524
tt0003001	4.7	20
tt0003014	7.0	1296
tt0003131	6.7	167
tt0003207	4.8	16
tt0003208	4.3	12
tt0003241	5.0	21
tt0003242	8.4	17
tt0003323	6.5	32
tt0003365	4.6	24
tt0003379	3.6	15
tt0003419	6.4	2207
tt0003424	7.4	1900
tt0003441	6.0	18
tt0003442	5.8	26
tt0003468	4.6	38
tt0003508	5.7	19
tt0003512	5.0	169
tt0003591	5.2	22
tt0003600	6.4	22
tt0003637	6.2	473
tt0003643	6.4	1324
tt0003668	5.6	23
tt0003679	5.4	1669
tt0003748	8.0	18
tt0003863	5.9	1097
tt0003886	5.4	20
tt0003897	6.3	94
tt0003923	5.2	1111
tt0003930	6.8	1361
tt0003934	5.4	1015
tt0003948	5.0	31
tt0003949	5.3	193
tt0003972	4.5	29
tt0004007	5.6	884
tt0004011	5.5	940
tt0004022	6.2	64
tt0004064	5.3	25
tt0004100	5.9	1074
tt0004101	5.9	1313
tt0004102	5.3	979
tt0004121	5.6	124
tt0004134	6.5	655
tt0004155	7.4	13
tt0004194	5.7	1380
tt0004196	5.8	51
tt0004199	4.1	26
tt0004210	5.6	1543
tt0004268	5.0	29
tt0004280	5.4	1004
tt0004288	5.5	2164
tt0004294	7.3	20
tt0004307	5.9	23
tt0004311	5.9	1440
tt0004395	6.1	1121
tt0004399	6.4	22
tt0004413	6.4	443
tt0004499	5.6	878
tt0004518	5.0	1155
