title_id	name_id
tt0000108	nm0410331
tt0000609	nm0000636
tt0000816	nm0000428
tt0000887	nm0205986
tt0000966	nm0612348
tt0000966	nm0000636
tt0001083	nm0178934
tt0001083	nm0940488
tt0001314	nm0000636
tt0001396	nm0940488
tt0001450	nm0001908
tt0001604	nm0519315
tt0001742	nm0692105
tt0002115	nm0304098
tt0002163	nm0903959
tt0002221	nm1416083
tt0002221	nm0823088
tt0002281	nm0837989
tt0002785	nm0241416
tt0002785	nm0869665
tt0003014	nm0472236
tt0003014	nm0803705
tt0003131	nm0532622
tt0003166	nm0169871
tt0003442	nm0362762
tt0003600	nm0280841
tt0003643	nm0000590
tt0003643	nm0000428
tt0003668	nm0421104
tt0003668	nm0410470
tt0003668	nm0281621
tt0004011	nm0000122
tt0004196	nm0306723
tt0004196	nm0866243
tt0004216	nm0433165
tt0004216	nm0931031
tt0004287	nm0502090
tt0004307	nm0098376
tt0004307	nm0518711
tt0004514	nm0599800
tt0004581	nm0452283
tt0004621	nm0822627
tt0004870	nm0661844
tt0004972	nm0228746
tt0004972	nm0000428
tt0004972	nm0940488
tt0005005	nm0192062
tt0005005	nm0396416
tt0005020	nm0001908
tt0005390	nm0790263
tt0005527	nm0784407
tt0005573	nm0245385
tt0005573	nm0662272
tt0005808	nm0323766
tt0005808	nm0716103
tt0005808	nm0225458
tt0005809	nm0507150
tt0005809	nm0791017
tt0005892	nm0366610
tt0005892	nm0448981
tt0006101	nm0186345
tt0006101	nm0563997
tt0006268	nm0888539
tt0006268	nm0932328
tt0006268	nm0940820
tt0006313	nm0000122
tt0006378	nm0167424
tt0006378	nm0357028
tt0006378	nm0517786
tt0006480	nm0689638
tt0006480	nm0937912
tt0006548	nm0117018
tt0006548	nm0000122
tt0006548	nm1176713
tt0006720	nm0228506
tt0006766	nm0028916
tt0006766	nm0301131
tt0006826	nm0000428
tt0006863	nm0071557
tt0006892	nm0830249
tt0006892	nm0927919
tt0007093	nm0287593
tt0007180	nm0370271
tt0007323	nm0160280
tt0007416	nm0916177
tt0007768	nm0228693
tt0007773	nm0120762
tt0007815	nm0106218
tt0007858	nm0500743
tt0008104	nm0794340
tt0008125	nm0576830
tt0008125	nm0021283
tt0008125	nm0547966
tt0008325	nm0165470
tt0008325	nm0432216
tt0008368	nm0613943
tt0008426	nm1212433
tt0008512	nm0408863
tt0008512	nm0002271
tt0008671	nm0909825
tt0008831	nm0082914
tt0008831	nm0203191
tt0008866	nm0783865
tt0009030	nm0384248
tt0009030	nm0507181
tt0009030	nm0912354
tt0009145	nm0392709
tt0009145	nm0774605
tt0009231	nm0073238
tt0009231	nm0166777
tt0009313	nm0924365
tt0009394	nm0163937
tt0009394	nm0392709
tt0009403	nm0448013
tt0009403	nm0858501
tt0009491	nm0275421
tt0009642	nm0280841
tt0009681	nm0392709
tt0009681	nm0896004
tt0009877	nm0102783
tt0009877	nm0166700
tt0010066	nm0073592
tt0010108	nm0000428
tt0010120	nm0387000
tt0010120	nm0401429
tt0010317	nm0031751
tt0010663	nm0284835
tt0010663	nm0730396
tt0010663	nm0857710
tt0010676	nm0228693
tt0010676	nm0319069
tt0010680	nm0219428
tt0010680	nm0519315
tt0010680	nm0528022
tt0010718	nm0193617
tt0010718	nm0299154
tt0010832	nm0107838
tt0010832	nm0239769
tt0010832	nm0369036
tt0010832	nm0369038
tt0010926	nm0522281
tt0010926	nm0566338
tt0010946	nm0294276
tt0010970	nm2505297
tt0010970	nm0745577
tt0010979	nm0279404
tt0011000	nm0406094
tt0011000	nm0179740
tt0011000	nm0003433
tt0011231	nm0094900
tt0011231	nm0950150
tt0011361	nm0647652
tt0011556	nm0779480
tt0011556	nm0926417
tt0011650	nm0346843
tt0011650	nm0191547
tt0011769	nm0279404
tt0011865	nm0697880
tt0011865	nm0210352
tt0011865	nm0184632
tt0011948	nm0511729
tt0012002	nm0239769
tt0012002	nm0245385
tt0012002	nm5042894
tt0012118	nm0192325
tt0012177	nm0334612
tt0012187	nm0001124
tt0012187	nm0534221
tt0012215	nm0073238
tt0012215	nm0573743
tt0012289	nm0204340
tt0012289	nm0828574
tt0012380	nm0585931
tt0012399	nm0361882
tt0012432	nm0102167
tt0012432	nm0399203
tt0012466	nm0054045
tt0012468	nm0340599
tt0012468	nm0402559
tt0012468	nm0784407
tt0012468	nm0832974
tt0012532	nm0257866
tt0012532	nm0180077
tt0012532	nm0000428
tt0012627	nm0099105
tt0012627	nm0410331
tt0012627	nm0420198
tt0012627	nm0524995
tt0012627	nm0663767
tt0012637	nm0192325
tt0012637	nm0775471
tt0012637	nm0860193
tt0012642	nm0730018
tt0012642	nm0853130
tt0012642	nm0369841
tt0012642	nm0907778
tt0012689	nm0181837
tt0012689	nm0920279
tt0012728	nm0547966
tt0012728	nm0612584
