title_id	ordering	type
tt0000026	12	imdbDisplay
tt0000108	3	original
tt0000490	2	imdbDisplay
tt0000500	1	original
tt0000612	2	original
tt0000816	2	imdbDisplay
tt0000887	1	original
tt0000963	2	original
tt0000966	5	original
tt0000992	1	original
tt0001083	5	imdbDisplay
tt0001093	1	original
tt0001097	1	imdbDisplay
tt0001315	2	imdbDisplay
tt0001426	1	imdbDisplay
tt0001450	1	original
tt0001604	1	imdbDisplay
tt0001719	2	imdbDisplay
tt0001742	3	imdbDisplay
tt0001830	1	imdbDisplay
tt0001997	2	imdbDisplay
tt0002115	1	original
tt0002163	2	imdbDisplay
tt0002221	5	imdbDisplay
tt0002281	3	imdbDisplay
tt0002741	2	original
tt0002755	3	imdbDisplay
tt0002785	2	imdbDisplay
tt0003014	2	imdbDisplay
tt0003166	1	original
tt0003442	3	imdbDisplay
tt0003514	2	original
tt0003600	2	original
tt0003643	10	imdbDisplay
tt0003668	1	original
tt0003925	1	original
tt0003957	2	imdbDisplay
tt0004011	13	imdbDisplay
tt0004196	1	imdbDisplay
tt0004216	2	imdbDisplay
tt0004287	1	imdbDisplay
tt0004307	2	original
tt0004514	1	imdbDisplay
tt0004581	2	original
tt0004621	2	imdbDisplay
tt0004814	1	imdbDisplay
tt0004870	2	imdbDisplay
tt0004972	25	imdbDisplay
tt0004995	3	imdbDisplay
tt0005005	7	original
tt0005020	2	imdbDisplay
tt0005303	2	original
tt0005390	4	imdbDisplay
tt0005527	2	working
tt0005573	1	original
tt0005808	9	imdbDisplay
tt0005809	3	alternative
tt0005892	3	working
tt0006101	2	imdbDisplay
tt0006313	29	imdbDisplay
tt0006378	2	imdbDisplay
tt0006480	1	original
tt0006548	19	imdbDisplay
tt0006720	2	imdbDisplay
tt0006801	1	original
tt0006826	4	imdbDisplay
tt0006863	3	imdbDisplay
tt0006892	2	imdbDisplay
tt0007180	4	imdbDisplay
tt0007323	1	original
tt0007416	2	imdbDisplay
tt0007768	3	imdbDisplay
tt0007815	1	original
tt0007858	3	imdbDisplay
tt0008104	2	original
tt0008125	4	imdbDisplay
tt0008325	2	imdbDisplay
tt0008368	2	imdbDisplay
tt0008426	1	original
tt0008512	1	imdbDisplay
tt0008671	4	imdbDisplay
tt0008866	2	imdbDisplay
tt0009030	1	imdbDisplay
tt0009145	1	imdbDisplay
tt0009231	1	working
tt0009313	1	imdbDisplay
tt0009394	4	imdbDisplay
tt0009403	2	imdbDisplay
tt0009491	1	original
tt0009642	2	imdbDisplay
tt0009681	1	original
tt0009877	3	imdbDisplay
tt0010066	3	original
tt0010108	1	imdbDisplay
tt0010306	1	imdbDisplay
tt0010317	2	imdbDisplay
tt0010663	4	imdbDisplay
tt0010676	2	imdbDisplay
tt0010718	1	imdbDisplay
tt0010752	3	imdbDisplay
tt0010832	1	original
tt0010926	1	imdbDisplay
tt0010970	3	imdbDisplay
tt0010979	1	imdbDisplay
tt0011000	8	imdbDisplay
tt0011231	5	imdbDisplay
tt0011361	3	original
tt0011556	4	imdbDisplay
tt0011650	8	imdbDisplay
tt0011769	1	original
tt0011948	3	imdbDisplay
tt0012002	2	original
tt0012118	1	original
tt0012177	7	alternative
tt0012187	3	imdbDisplay
tt0012215	2	imdbDisplay
tt0012289	2	imdbDisplay
tt0012380	5	original
tt0012399	2	imdbDisplay
tt0012432	2	imdbDisplay
tt0012466	2	imdbDisplay
tt0012468	1	imdbDisplay
tt0012532	17	imdbDisplay
tt0012627	3	imdbDisplay
tt0012637	6	working
tt0012642	13	imdbDisplay
tt0012728	3	imdbDisplay
tt0012734	5	imdbDisplay
tt0012736	5	imdbDisplay
tt0012952	10	alternative
tt0013025	12	imdbDisplay
tt0013403	1	imdbDisplay
tt0013433	2	imdbDisplay
