title_id	ordering	attribute
tt0001396	2	literal title
tt0006268	1	series title
tt0009145	2	pre-release title
tt0010680	12	informal short title
tt0014782	2	transliterated title
tt0015150	1	alternative spelling
tt0017736	11	subtitle
tt0018836	16	transliterated title
tt0019704	7	literal title
tt0020337	6	short title
tt0020358	2	informal literal title
tt0020572	9	original subtitled version
tt0020685	1	series title
tt0020768	11	silent version
tt0021577	14	literal title
tt0022235	2	literal English title
tt0022695	3	premiere title
tt0023736	6	informal literal title
tt0024210	19	transliterated title
tt0024269	7	literal title
tt0024674	7	cable TV title
tt0025139	11	informal English title
tt0026047	11	informal literal English title
tt0026677	4	long title
tt0026993	2	literal title
tt0028016	8	original subtitled version
tt0028207	6	theatrical title
tt0028603	6	premiere title
tt0030727	5	transliterated title
tt0030775	19	transliterated title
tt0031299	15	literal title
tt0031693	18	theatrical title
tt0031842	7	reissue title
tt0031973	25	transliterated title
tt0032030	11	poster title
tt0032086	19	long title
tt0032256	14	transliterated title
tt0034184	7	transliterated title
tt0034418	2	literal title
tt0034870	4	series title
tt0034919	21	transliterated title
tt0037801	5	transliterated title
tt0038594	13	reissue title
tt0038684	5	new title
tt0039233	5	transliterated title
tt0040068	5	reissue title
tt0040137	1	informal title
tt0040416	22	transliterated title
tt0040497	23	alternative spelling
tt0040746	18	alternative spelling
tt0040927	3	reissue title
tt0041200	6	dubbed version
tt0041786	4	transliterated title
tt0041979	5	alternative spelling
tt0042027	1	premiere title
tt0042575	9	16mm release title
tt0042739	6	transliterated title
tt0043156	7	poster title
tt0044444	3	transliterated title
tt0044446	13	transliterated title
tt0044937	8	complete title
tt0045153	4	new title
tt0045494	12	poster title
tt0045641	9	theatrical title
tt0045977	2	literal title
tt0046303	31	transliterated title
tt0046618	5	syndication title
tt0047315	3	Venice film festival title
tt0047898	23	dubbed version
tt0048301	7	transliterated title
tt0048533	11	transliterated title
tt0049009	8	poster title
tt0049182	24	transliterated title
tt0049234	1	copyright title
tt0050431	4	transliterated title
tt0050628	6	transliterated title
tt0050905	6	reissue title
tt0051753	3	transliterated title
tt0052110	17	transliterated title
tt0052939	6	literal title
tt0054135	48	alternative spelling
tt0054470	1	alternative transliteration
tt0056058	24	original subtitled version
tt0056265	10	literal title
tt0057380	2	reissue title
tt0057543	18	transliterated title
tt0057616	1	poster title
tt0058126	7	transliterated title
tt0058150	55	alternative spelling
tt0058665	3	informal title
tt0059075	1	informal literal title
tt0059134	1	poster title
tt0059243	22	theatrical title
tt0060625	11	alternative spelling
tt0060661	16	cable TV title
tt0061320	12	poster title
tt0061852	18	8mm release title
tt0061976	16	complete title
tt0062037	12	transliterated title
tt0062114	11	transliterated title
tt0062972	1	alternative spelling
tt0063106	4	series title
tt0063953	1	informal literal title
tt0064391	24	long title
tt0064682	20	video box title
tt0064777	10	reissue title
tt0064789	1	transliterated title
tt0064837	13	literal title
tt0066141	22	transliterated title
tt0066152	1	transliterated title
tt0066477	16	literal title
tt0066564	23	original subtitled version
tt0066617	5	transliterated title
tt0066986	2	transliterated title
tt0067189	6	short title
tt0067411	17	informal short title
tt0068041	7	informal literal title
tt0068559	9	dubbed version
tt0068990	22	cable TV title
tt0069404	3	orthographically correct title
tt0069697	15	informal literal title
tt0069795	7	DVD box title
tt0070003	6	theatrical title
tt0070017	21	transliterated title
tt0070022	9	alternative spelling
tt0070107	7	new title
tt0070280	14	reissue title
tt0070641	4	original subtitled version
tt0071323	2	recut version
tt0072007	2	reissue title
tt0072547	21	transliterated title
tt0072717	2	literal title
tt0072752	19	transliterated title
tt0073125	1	DVD box title
tt0073341	17	complete title
tt0073994	8	informal literal title
tt0074108	16	reissue title
tt0074443	8	complete title
tt0075307	18	theatrical title
tt0075370	11	video box title
tt0075811	45	literal title
tt0076327	17	original subtitled version
tt0076411	9	informal title
tt0076618	16	8mm release title
tt0076759	91	reissue title
tt0076875	7	literal title
tt0077318	9	video box title
tt0077687	34	transliterated title
tt0077728	5	complete title
tt0078242	1	poster title
tt0078492	23	transliterated title
tt0080556	2	poster title
tt0080605	1	video box title
tt0081696	18	dubbed version
tt0082096	22	informal literal title
tt0082779	14	complete title
tt0082910	49	short title
tt0083801	16	Cannes festival title
tt0083915	14	video box title
tt0084434	31	transliterated title
tt0084648	5	transliterated title
tt0085017	13	complete title
tt0085182	4	dubbed version
tt0085729	4	cable TV title
tt0085830	3	literal title
tt0085956	2	video box title
tt0086062	2	original subtitled version
tt0086149	23	transliterated title
tt0086172	3	literal English title
tt0086263	6	alternative spelling
tt0086631	9	alternative spelling
tt0086779	23	second season title
tt0086779	77	fifth season title
tt0086856	14	transliterated title
tt0088280	7	video box title
tt0088814	156	informal English title
tt0088952	6	transliterated title
tt0089122	24	informal alternative title
tt0089748	27	original subtitled version
tt0090914	16	complete title
tt0092513	18	new title
tt0093206	19	alternative transliteration
tt0093278	15	video box title
tt0093489	8	transliterated title
tt0093771	10	poster title
tt0093778	6	video box title
tt0094712	18	video box title
tt0094846	7	transliterated title
tt0095236	4	alternative transliteration
tt0096209	6	literal English title
tt0097372	9	video box title
tt0098370	6	literal English title
tt0099360	17	new title
