title_id	name_id
tt0000026	nm0525910
tt0000108	nm0005690
tt0000490	nm0349785
tt0000609	nm0143333
tt0000609	nm0892614
tt0000612	nm0005717
tt0000816	nm0000428
tt0000887	nm0205986
tt0000963	nm0001908
tt0000966	nm0448682
tt0000966	nm0085865
tt0001083	nm0000428
tt0001093	nm0294276
tt0001097	nm0294276
tt0001314	nm0516263
tt0001315	nm0000428
tt0001396	nm0000428
tt0001426	nm0832948
tt0001450	nm0001908
tt0001604	nm0519315
tt0001719	nm0294276
tt0001742	nm0692105
tt0001997	nm0111753
tt0002163	nm0823150
tt0002221	nm0823088
tt0002281	nm0285643
tt0002281	nm0408436
tt0002741	nm0806565
tt0002755	nm0784407
tt0002785	nm0869665
tt0003014	nm0803705
tt0003131	nm0532622
tt0003166	nm0169871
tt0003442	nm0205986
tt0003514	nm0784407
tt0003600	nm0403054
tt0003643	nm0000428
tt0003668	nm0281621
tt0003925	nm0098308
tt0004011	nm0000122
tt0004044	nm0698839
tt0004196	nm0306723
tt0004216	nm0334918
tt0004216	nm0931031
tt0004287	nm0066734
tt0004307	nm0098376
tt0004514	nm0002177
tt0004581	nm0577654
tt0004621	nm0002061
tt0004814	nm0942917
tt0004870	nm0208657
tt0004972	nm0000428
tt0004995	nm0454771
tt0005005	nm0285643
tt0005020	nm0001908
tt0005303	nm0145924
tt0005390	nm0594291
tt0005527	nm0942917
tt0005573	nm0245385
tt0005808	nm0309163
tt0005808	nm0923594
tt0005808	nm0923603
tt0005809	nm0507150
tt0005892	nm3168648
tt0006101	nm0186345
tt0006268	nm0877783
tt0006313	nm0000122
tt0006378	nm0430968
tt0006378	nm0442180
tt0006480	nm0244180
tt0006548	nm0000122
tt0006720	nm0384616
tt0006766	nm0301131
tt0006766	nm1887049
tt0006801	nm0382476
tt0006826	nm0408937
tt0006863	nm0373614
tt0006892	nm0830249
tt0007093	nm0002061
tt0007180	nm0316794
tt0007323	nm0160280
tt0007416	nm0048478
tt0007768	nm0577654
tt0007773	nm0601190
tt0007815	nm0106218
tt0007858	nm0002179
tt0008104	nm0662032
tt0008125	nm0154352
tt0008325	nm0432216
tt0008368	nm0119138
tt0008426	nm0237713
tt0008512	nm0002271
tt0008671	nm0909825
tt0008831	nm0082914
tt0008831	nm0203191
tt0008866	nm0783865
tt0009030	nm0166730
tt0009145	nm0392709
tt0009231	nm0002177
tt0009313	nm0454771
tt0009394	nm0392709
tt0009403	nm0250445
tt0009491	nm0275421
tt0009681	nm0392709
tt0009877	nm0102783
tt0010066	nm0665737
tt0010108	nm0000428
tt0010120	nm0000406
tt0010306	nm0156311
tt0010317	nm0018437
tt0010663	nm0502752
tt0010676	nm0285684
tt0010680	nm0519315
tt0010718	nm0454771
tt0010832	nm0316794
tt0010926	nm0807871
tt0010946	nm0294276
tt0010970	nm2040774
tt0010970	nm0745577
tt0010979	nm0279404
tt0011000	nm0003433
tt0011231	nm0861336
tt0011361	nm0647652
tt0011556	nm0769144
tt0011650	nm0550892
tt0011769	nm0279404
tt0011865	nm0001124
tt0011948	nm0511729
tt0012002	nm0245385
tt0012118	nm0886754
tt0012177	nm0181317
tt0012177	nm0334612
tt0012187	nm0001124
tt0012215	nm0502752
tt0012289	nm0625424
tt0012380	nm0236245
tt0012399	nm0361882
tt0012432	nm0861336
tt0012466	nm0454771
tt0012468	nm0428059
tt0012532	nm0000428
tt0012627	nm0489467
tt0012637	nm0456634
tt0012642	nm0628345
tt0012689	nm0920279
tt0012728	nm0897085
tt0012734	nm0000406
tt0012736	nm0132324
tt0012952	nm0629243
tt0012952	nm0002188
tt0013025	nm0166836
tt0013025	nm0000036
tt0013403	nm0107543
tt0013433	nm0210352
tt0013631	nm0669260
tt0013654	nm0208657
tt0013719	nm0115218
tt0013807	nm0955405
tt0013813	nm0205984
tt0013824	nm0929649
tt0013835	nm0511399
tt0013838	nm0286379
tt0013966	nm0247358
tt0014109	nm0830249
tt0014132	nm0309163
tt0014249	nm0116103
tt0014339	nm0009257
tt0014339	nm0325670
tt0014353	nm0064415
tt0014405	nm0400912
tt0014482	nm0392709
tt0014601	nm0002271
tt0014601	nm0855935
tt0014667	nm0250034
tt0014695	nm0855912
tt0014782	nm0281808
tt0014831	nm0916224
tt0014838	nm0721840
tt0014937	nm0190516
tt0015032	nm0003226
tt0015150	nm0281487
tt0015337	nm0832584
tt0015337	nm0834898
tt0015348	nm0377126
tt0015557	nm0000370
tt0015863	nm0000036
tt0015895	nm0347451
tt0015895	nm0928514
tt0015932	nm0176699
tt0016023	nm0068419
tt0016049	nm0474487
tt0016053	nm0250034
tt0016127	nm0000033
tt0016172	nm0689471
tt0016177	nm0820461
tt0016193	nm0132926
tt0016259	nm0721840
tt0016276	nm0485943
tt0016276	nm0202590
tt0016278	nm0807742
tt0016333	nm0628345
tt0016409	nm0118266
tt0016466	nm0781292
tt0016506	nm0539718
tt0016530	nm0896542
tt0016615	nm0341486
tt0016619	nm0665737
tt0016756	nm0569645
tt0016765	nm0861703
tt0016839	nm0562400
tt0016901	nm0917857
tt0016994	nm0356931
tt0017003	nm0281487
tt0017003	nm0281502
tt0017007	nm0235590
tt0017088	nm0007215
tt0017112	nm0721840
tt0017112	nm0807742
tt0017136	nm0000485
tt0017167	nm0580197
tt0017210	nm0782597
tt0017242	nm0245385
tt0017262	nm0487237
tt0017337	nm0296193
tt0017410	nm0478441
tt0017464	nm0432216
tt0017516	nm0296193
tt0017590	nm0916224
tt0017619	nm0882160
tt0017728	nm0005847
tt0017736	nm0901502
tt0017784	nm0941562
tt0017845	nm0059648
tt0017859	nm0282984
tt0017869	nm0582250
tt0017901	nm0825596
tt0018037	nm0189076
tt0018107	nm0332539
tt0018107	nm0318105
tt0018122	nm0628345
tt0018154	nm0296193
tt0018185	nm0914112
tt0018207	nm0582250
tt0018320	nm0384616
tt0018384	nm0408433
tt0018440	nm0781292
tt0018456	nm0736610
tt0018505	nm0740282
tt0018520	nm0935806
tt0018622	nm0515979
tt0018716	nm0540575
tt0018728	nm0412235
tt0018742	nm0781292
tt0018742	nm0000036
tt0018811	nm0492742
tt0018836	nm0803705
tt0018994	nm0927467
tt0019019	nm0913297
tt0019053	nm0131460
tt0019129	nm0102264
tt0019129	nm0242412
tt0019159	nm0929649
tt0019252	nm0833965
tt0019282	nm0625424
tt0019328	nm0000370
tt0019365	nm0944797
tt0019405	nm0428059
tt0019436	nm0408937
tt0019436	nm0921288
tt0019444	nm0624714
tt0019558	nm0002233
tt0019597	nm0385642
tt0019704	nm0719756
tt0019729	nm0064600
tt0019773	nm0376221
tt0019814	nm0851537
tt0019979	nm0825596
tt0020004	nm0159725
tt0020154	nm0379093
tt0020337	nm0446054
tt0020358	nm0227020
tt0020391	nm0341486
tt0020440	nm0484366
tt0020570	nm0266691
tt0020570	nm0655065
tt0020572	nm0115669
tt0020572	nm0820461
tt0020685	nm0209458
tt0020768	nm0003638
tt0020774	nm0569645
tt0020938	nm0337586
tt0021013	nm0001843
tt0021137	nm0878338
tt0021164	nm0782707
tt0021196	nm0089800
tt0021287	nm0332539
tt0021379	nm0487237
tt0021379	nm0634366
tt0021436	nm0851537
tt0021456	nm0569697
tt0021577	nm0000320
tt0021608	nm0281487
tt0021698	nm0089800
tt0021778	nm0064600
tt0021821	nm0878338
tt0021845	nm0377126
tt0021874	nm0502752
tt0021900	nm0092915
tt0021976	nm0250034
tt0022017	nm0655065
tt0022235	nm0655065
tt0022289	nm0252388
tt0022353	nm0000406
tt0022360	nm0821472
tt0022504	nm0806061
tt0022574	nm0329066
tt0022597	nm0483944
tt0022617	nm0821244
tt0022634	nm0621540
tt0022641	nm0280463
