title_id	name_id
tt0004287	nm0066734
tt0012466	nm0454771
tt0012468	nm0428059
tt0012734	nm0000406
tt0018811	nm0492742
tt0020768	nm0003638
tt0023071	nm0235590
tt0027155	nm0596410
tt0030727	nm0445033
tt0032256	nm0886754
tt0033231	nm0491504
tt0033231	nm0641045
tt0033435	nm0235066
tt0033835	nm0020980
tt0033835	nm0411208
tt0034076	nm0389219
tt0041847	nm0746740
tt0045806	nm0375213
tt0052507	nm0403774
tt0052507	nm0049914
tt0052507	nm0663120
tt0052507	nm0122319
tt0052507	nm0801941
tt0052507	nm1598972
tt0052507	nm0445701
tt0052507	nm0712836
tt0052507	nm0738680
tt0052507	nm0855804
tt0052507	nm0385341
tt0052507	nm0952712
tt0052507	nm1938417
tt0052507	nm0106175
tt0052507	nm1942552
tt0052507	nm0907484
tt0056193	nm0000040
tt0058099	nm0063077
tt0058144	nm0763436
tt0061156	nm0159201
tt0066477	nm0156966
tt0067896	nm0274659
tt0081506	nm0396884
tt0081506	nm0593014
tt0082111	nm0000697
tt0082779	nm0923613
tt0092216	nm0004621
tt0101356	nm0680629
tt0103239	nm0853546
tt0103436	nm0101385
tt0103436	nm0543129
tt0103436	nm0003163
tt0103436	nm0319412
tt0103436	nm0450314
tt0103436	nm0877427
tt0104491	nm0852676
tt0105929	nm0818639
tt0105929	nm0401982
tt0105929	nm0314641
tt0105929	nm0282064
tt0105929	nm0788426
tt0105929	nm0125753
tt0106879	nm0047658
tt0111341	nm0850601
tt0113419	nm0000568
tt0115525	nm0644309
tt0119545	nm0131064
tt0122248	nm0628783
tt0123119	nm0738736
tt0130805	nm0087638
tt0137649	nm0496928
tt0137649	nm0572050
tt0140791	nm0449216
tt0146161	nm0345273
tt0162135	nm0603523
tt0176708	nm0130020
tt0191915	nm0002089
tt0202390	nm0462899
tt0231402	nm0934578
tt0275410	nm0237236
tt0298351	nm0839268
tt0303034	nm0191876
tt0323191	nm1207340
tt0323191	nm0729409
tt0345078	nm0305693
tt0349831	nm0155548
tt0438299	nm1802039
tt0461792	nm1943609
tt0480786	nm2035708
tt0485763	nm1758267
tt0544769	nm2219354
tt0603673	nm0793147
tt0639043	nm0496417
tt0677313	nm0879245
tt0677313	nm0775390
tt0715639	nm4257835
tt0724921	nm0595657
tt0730551	nm0255603
tt0745724	nm0336241
tt0754072	nm0538426
tt0807026	nm0763453
tt0810660	nm0284159
tt0814085	nm1983331
tt0814194	nm0742392
tt0824581	nm0482475
tt0834056	nm0304158
tt0885761	nm0593097
tt0885761	nm0197700
tt0885761	nm0082748
tt0885761	nm0221662
tt0885761	nm0003080
tt0900259	nm0588877
tt0951059	nm0355961
tt0967148	nm1019499
tt0987770	nm0148736
tt0987770	nm0627347
tt0987770	nm1442636
tt10024268	nm9505932
tt10032880	nm10631312
tt10032880	nm4027968
tt10032880	nm11741397
tt10061228	nm3058370
tt10076144	nm1590021
tt10076144	nm7412669
tt10083402	nm2129968
tt10083402	nm4908114
tt10083402	nm4907854
tt10083854	nm1590021
tt10083854	nm7412669
tt10114274	nm0474848
tt10118650	nm0474848
tt10151784	nm1201559
tt10205840	nm6311480
tt10221428	nm0242409
tt10221428	nm0322503
tt10310318	nm10558751
tt10347270	nm6908650
tt10355058	nm0225621
tt1035997	nm0148519
tt10382782	nm7071867
tt10414336	nm1876309
tt10448474	nm0700545
tt10448474	nm0737880
tt10448474	nm0752287
tt10502254	nm10758813
tt10502254	nm4604137
tt10511664	nm0737880
tt10542364	nm0814716
tt10629786	nm8196792
tt10629786	nm7786669
tt10649218	nm0201927
tt10649218	nm10831796
tt10700110	nm0162777
tt10700110	nm0179413
tt10700110	nm0221452
tt10700110	nm0448946
tt10711068	nm0162777
tt10711068	nm0179413
tt10711068	nm0221452
tt10711068	nm0448946
tt10734006	nm1516991
tt10753060	nm3137290
tt10753060	nm8752776
tt10822460	nm0677838
tt10823736	nm5227799
tt10827638	nm10923597
tt1086055	nm0353121
tt10884952	nm10919652
tt10884952	nm8467983
tt1090402	nm0446334
tt10909204	nm7809044
tt11014934	nm9506110
tt11014934	nm4822825
tt11016546	nm7567865
tt11016546	nm1387868
tt11035538	nm6310051
tt11047872	nm5425799
tt1104814	nm1514327
tt11123436	nm8408311
tt11145734	nm11057879
tt11168606	nm10695439
tt11211296	nm6953153
tt11218428	nm7591139
tt11221590	nm10625286
tt11268312	nm9078036
tt11277530	nm9201996
tt11277530	nm10611215
tt11307570	nm1885888
tt11307570	nm1532250
tt11308488	nm11118791
tt11309460	nm3213427
tt11315594	nm11138475
tt11315594	nm10622967
tt11317654	nm2454264
tt11324422	nm2430776
tt11327514	nm0050332
tt11338926	nm11138475
tt11338926	nm10622967
tt1142952	nm0181656
tt11450414	nm8850133
tt11477022	nm2346331
tt11479340	nm10647298
tt11479774	nm1618917
tt11479774	nm2168111
tt11480682	nm6908650
tt1158203	nm0476620
tt1160496	nm0424202
tt11649302	nm3137290
tt11688164	nm0051678
tt11695498	nm0941152
tt11734528	nm1288535
tt11747434	nm2537990
tt11766400	nm9078036
tt11767676	nm1506308
tt11794410	nm2537990
tt11825458	nm7478784
tt11833162	nm10699911
tt11903570	nm0183325
tt11903570	nm1427846
tt11903570	nm2806500
tt11903570	nm1360785
tt11903688	nm0051678
tt11903700	nm0436435
tt1192654	nm2039472
tt11938052	nm0183325
tt11938052	nm1427846
tt11938052	nm2806500
tt11938052	nm1360785
tt11948722	nm0353170
tt12052500	nm1167622
tt1208180	nm0004552
tt12097812	nm3213427
tt12114106	nm10681343
tt1215791	nm1350333
tt1215791	nm2259035
tt12162614	nm4309601
tt12162614	nm0720465
tt12162614	nm0739310
tt12167680	nm3130962
tt12167680	nm0033288
tt12185676	nm1856686
tt12185676	nm1287750
tt1220214	nm0726000
tt12208154	nm9387181
tt1227403	nm3000043
tt12315772	nm1171296
tt12370626	nm0235465
tt12370626	nm0475430
tt12376172	nm0028373
tt12389846	nm6394406
tt12404534	nm8680937
tt12412470	nm1645966
tt12430108	nm0235465
tt12430108	nm0475430
tt12462560	nm0600353
tt12525718	nm11665971
tt12534476	nm11262114
tt12562594	nm11089680
tt12578108	nm10013841
tt12595796	nm10922069
tt12613194	nm5727175
tt12634270	nm0233920
tt1267743	nm1977683
tt1267743	nm3425464
tt12710716	nm11707614
tt12717670	nm5768477
tt12717670	nm11472816
tt12717670	nm11470946
tt12724374	nm1905820
tt12791076	nm11479487
tt12807640	nm11517652
tt12822798	nm11537102
tt1282485	nm0172118
tt1293222	nm0157553
tt12973118	nm10641547
tt12989082	nm1538571
tt13013496	nm1538571
tt13076782	nm2520299
tt13105172	nm0183063
tt13146724	nm11629704
tt13259794	nm10919550
tt13280430	nm10496252
tt13282408	nm1650373
tt13375278	nm10033478
tt1339724	nm0365192
tt13529008	nm0992370
tt13531430	nm7199198
tt13583402	nm2245500
tt13627112	nm4746571
tt13687204	nm5727175
tt1375039	nm0284622
tt1375039	nm0686505
tt13755484	nm1402433
tt13769270	nm3582934
tt13769270	nm8213447
tt13769270	nm10512209
tt13769270	nm10512210
tt13769270	nm8669327
tt1377906	nm0060275
tt13787726	nm7470732
tt13802658	nm1502104
tt13815742	nm12201418
tt13883140	nm8467983
tt13894738	nm0309116
tt13894738	nm1270012
tt13894738	nm1709235
tt13947440	nm2361839
tt13947440	nm3166235
tt13947440	nm4939712
tt13947440	nm2558317
tt13947440	nm7913959
tt13947440	nm8009217
tt13947440	nm0865425
tt13952706	nm10025830
tt13953628	nm11673608
tt13965854	nm5460792
tt14019766	nm10727483
tt14197590	nm5236281
tt14197590	nm5239804
tt14352612	nm10126175
tt14381808	nm10509707
tt14387314	nm4890870
tt14388250	nm11668441
tt14407056	nm7426558
tt1442163	nm0895109
tt14527942	nm0308211
tt14553290	nm12321795
tt14566682	nm12176576
tt14574984	nm2639493
tt14647428	nm7867124
tt14672074	nm11539285
tt14688868	nm12578021
tt14714112	nm7689976
tt14717518	nm12559941
tt14718464	nm11539285
tt14744946	nm12419891
tt14777456	nm11648362
tt14781842	nm1212771
tt1478365	nm1591341
tt14795124	nm10914084
tt14795628	nm9956026
tt14817616	nm12635729
tt14821774	nm11616378
tt14857882	nm7453071
tt14862390	nm11482694
tt14862390	nm11271366
tt1486279	nm1234589
tt1486279	nm1041792
tt1486279	nm1081299
tt14868464	nm11979141
tt14881064	nm12642851
tt14912268	nm2212268
tt14924402	nm9535179
tt14932260	nm1130096
tt14947852	nm6380495
tt1496111	nm2194314
tt1496950	nm0244691
tt14997054	nm0474798
tt15075392	nm10611234
tt15081666	nm6625765
tt15081666	nm11598249
tt15081666	nm13664937
tt15081666	nm1516991
tt1510199	nm2890940
tt1510199	nm1974834
tt15141866	nm1402433
tt1515163	nm3607542
tt15178916	nm12766418
tt15192808	nm4802626
tt15201774	nm1293867
tt15201774	nm2414786
tt15232628	nm12773598
tt15242156	nm11214961
tt15246520	nm10730102
tt1524988	nm0759657
tt1524988	nm1902477
tt15260626	nm9957695
tt15264936	nm3217696
tt15291788	nm11482292
tt15297046	nm11467484
tt15316882	nm4861794
tt15326254	nm12834185
tt15347756	nm0122222
tt15348386	nm4127213
tt15356366	nm0578958
tt15384406	nm9723473
tt1539939	nm0930694
tt15412126	nm1047600
tt15464958	nm12955968
tt1549744	nm2264871
tt15530926	nm1998257
tt15566744	nm0002836
tt1557553	nm3716398
tt15694836	nm5262331
tt15705550	nm5262331
tt15713238	nm10358030
tt15725350	nm10828789
tt15747862	nm2544856
tt15757048	nm2544856
tt15775614	nm13064572
tt15776030	nm13064572
tt15805616	nm2544856
tt15820120	nm8304718
tt15950594	nm13109244
tt1602662	nm1566468
tt16115612	nm12690368
tt1616263	nm3054750
tt16274696	nm7008741
tt16293246	nm1352017
tt16302314	nm9488959
tt16307124	nm13184628
tt1653343	nm1227522
tt1669096	nm0821707
tt16747572	nm4129990
tt16766252	nm1238851
tt1679332	nm2398433
tt1680387	nm0022750
tt16938832	nm1203430
tt16965484	nm1203430
tt16966502	nm1203430
tt16980100	nm1203430
tt16980592	nm1203430
tt1698568	nm2543803
tt17013390	nm1203430
tt17030826	nm2999307
tt17030826	nm0400724
tt17054922	nm13220986
tt1718158	nm2384597
tt1736710	nm2462587
tt17375636	nm1203430
tt1745683	nm1856752
tt1776207	nm0340170
tt1782278	nm0601095
tt18238458	nm3938326
tt18238458	nm5090972
tt1824782	nm1850300
tt1824782	nm4006712
tt18248500	nm0605713
tt18281312	nm2296721
tt18281312	nm2244467
tt18281312	nm1765043
tt18281312	nm0703122
tt18350620	nm12475841
tt18350620	nm12475842
tt18350620	nm13827418
tt18552846	nm1409127
tt1865695	nm0344231
tt1865695	nm3510781
tt1865695	nm1500360
tt18692162	nm13410198
tt1872689	nm4456391
tt1882005	nm2462636
tt1915844	nm4576442
tt1930844	nm0366709
tt1931224	nm1834600
tt19394612	nm2368564
tt19413332	nm2218480
tt19466126	nm1409127
tt19497116	nm1058822
tt19497116	nm1078207
tt19719146	nm13579770
tt19758786	nm0989998
tt1976922	nm0129828
tt1994832	nm0773780
tt20231536	nm9462567
tt2041417	nm2194147
tt2044846	nm4327560
tt20450302	nm13688674
tt20597042	nm7356608
tt2072473	nm8864633
tt2079506	nm4707619
tt20896222	nm13740716
tt21028028	nm5674678
tt21062058	nm12828168
tt21158378	nm3121394
tt21219350	nm11316009
tt21266396	nm1124242
tt21266396	nm1425867
tt2162713	nm1163785
tt21742102	nm0851283
tt21832624	nm0851283
tt21859124	nm10595247
tt21859124	nm11221869
tt21918922	nm11130629
tt22001222	nm14020479
tt22018690	nm11500629
tt22027260	nm14031150
tt2213962	nm1290823
tt2213962	nm2996268
tt2213962	nm8952741
tt2213962	nm2515782
tt2213962	nm13403066
tt2213962	nm10009454
tt2213962	nm1751799
tt22173154	nm1319072
tt22173154	nm7570304
tt22191054	nm1041120
tt2232278	nm0141225
tt2238480	nm0613606
tt2244874	nm3701636
tt22449656	nm0475495
tt22449656	nm10277832
tt22766534	nm2366663
tt2296681	nm3483467
tt23028754	nm3586107
tt23028754	nm2567260
tt23030050	nm1216911
tt23051582	nm12375194
tt2324226	nm0129828
tt2342562	nm4110981
tt2343317	nm1990067
tt2359679	nm1362425
tt2359679	nm0316602
tt2359679	nm0058937
tt23632552	nm0757877
tt2369041	nm0836557
tt23729242	nm1590212
tt23832096	nm3536577
tt2417784	nm5293113
tt24183420	nm9844865
tt24365068	nm1958765
tt24365068	nm0273986
tt25148730	nm12672130
tt25148730	nm12618094
tt25148730	nm9767098
tt25148730	nm4068505
tt25148730	nm14376722
tt25190704	nm11563987
tt25219236	nm6651426
tt25219778	nm6651426
tt25389356	nm6908650
tt25389356	nm14414977
tt25389356	nm14414978
tt25389356	nm14563365
tt25638326	nm1120907
tt25644656	nm5765776
tt25806212	nm14115405
tt26176872	nm0529889
tt26229302	nm0167371
tt26427014	nm3981714
tt26427014	nm3981822
tt26427014	nm3981708
tt26427014	nm0876352
tt26440457	nm0508508
tt26440457	nm0954842
tt26473620	nm11173237
tt26489299	nm12785405
tt26512619	nm11255091
tt26674953	nm12851219
tt26899719	nm0275113
