title_id	ordering	type
tt0004287	1	imdbDisplay
tt0012466	2	imdbDisplay
tt0012468	1	imdbDisplay
tt0012734	5	imdbDisplay
tt0018811	1	original
tt0020768	3	imdbDisplay
tt0023071	5	original
tt0027155	6	imdbDisplay
tt0033231	3	original
tt0033435	16	original
tt0033835	5	imdbDisplay
tt0034076	10	imdbDisplay
tt0045806	3	original
tt0052507	7	imdbDisplay
tt0056193	17	imdbDisplay
tt0058099	1	imdbDisplay
tt0058144	5	alternative
tt0067896	10	video
tt0081506	18	imdbDisplay
tt0082111	13	imdbDisplay
tt0103436	2	imdbDisplay
tt0106879	3	imdbDisplay
tt0111341	17	imdbDisplay
tt0113419	6	imdbDisplay
tt0119545	5	imdbDisplay
tt0122248	1	original
tt0123119	5	imdbDisplay
tt0130805	1	imdbDisplay
tt0137649	2	original
tt0140791	2	imdbDisplay
tt0162135	1	original
tt0176708	3	imdbDisplay
tt0191915	21	imdbDisplay
tt0202390	4	festival
tt0231402	19	imdbDisplay
tt0275410	4	imdbDisplay
tt0298351	11	dvd
tt0303034	2	imdbDisplay
tt0323191	1	imdbDisplay
tt0345078	2	original
tt0349831	2	imdbDisplay
tt0350619	2	original
tt0404112	1	imdbDisplay
tt0438299	3	original
tt0461792	2	original
tt0480786	1	original
tt0807026	1	original
tt0814194	1	original
tt0885761	1	imdbDisplay
tt10355058	4	imdbDisplay
tt10382782	2	imdbDisplay
tt10827638	1	original
tt1086055	2	imdbDisplay
tt1104814	3	working
tt11218428	4	original
tt11317654	3	imdbDisplay
tt11327514	10	imdbDisplay
tt11485300	3	imdbDisplay
tt1160496	1	original
tt1220214	9	original
tt12389846	1	original
tt12525718	2	original
tt12634270	2	imdbDisplay
tt1282485	1	imdbDisplay
tt13259794	5	imdbDisplay
tt13280430	2	imdbDisplay
tt13375278	2	original
tt13583118	1	imdbDisplay
tt13583402	1	original
tt13787726	2	imdbDisplay
tt13802658	20	imdbDisplay
tt1478365	2	imdbDisplay
tt14857882	3	original
tt14913068	2	original
tt14924402	1	original
tt14947852	2	imdbDisplay
tt1515163	2	original
tt15326254	3	imdbDisplay
tt15464958	1	imdbDisplay
tt1549744	1	original
tt1557553	2	imdbDisplay
tt15791630	41	imdbDisplay
tt15820120	1	original
tt1669096	1	original
tt16747572	3	original
tt1679332	5	imdbDisplay
tt1698568	2	imdbDisplay
tt17030826	5	imdbDisplay
tt1718158	18	imdbDisplay
tt1745683	1	original
tt1776207	7	imdbDisplay
tt1786700	1	original
tt20231536	3	imdbDisplay
tt2041417	1	original
tt2044846	2	imdbDisplay
tt2079506	1	original
tt2162713	6	imdbDisplay
tt22027260	2	original
tt2244874	2	original
tt2296681	2	imdbDisplay
tt2342562	2	original
tt2369041	1	imdbDisplay
tt2417784	2	imdbDisplay
tt2700400	3	original
tt2722636	1	imdbDisplay
tt2746088	1	imdbDisplay
tt2900624	4	imdbDisplay
tt2903532	1	imdbDisplay
tt2971420	2	imdbDisplay
tt3058270	1	imdbDisplay
tt3060698	3	imdbDisplay
tt3065848	1	original
tt3206116	1	original
tt3322438	2	original
tt3325440	2	original
tt3421858	2	original
tt3665402	2	original
tt3875244	1	original
tt3889962	1	imdbDisplay
tt3972792	1	imdbDisplay
tt4077514	2	imdbDisplay
tt4126838	1	original
tt4311182	1	original
tt4491456	3	alternative
tt4594234	2	imdbDisplay
tt4882160	2	imdbDisplay
tt5335038	2	imdbDisplay
tt5467666	1	festival
tt5594490	7	imdbDisplay
tt5626838	1	imdbDisplay
tt5905344	2	imdbDisplay
tt5917856	2	original
tt5962384	1	imdbDisplay
tt5963320	1	imdbDisplay
tt6101380	1	original
tt6342398	5	imdbDisplay
tt6382820	1	imdbDisplay
tt6390506	2	original
tt6954618	2	original
tt7111450	2	imdbDisplay
tt7546190	2	imdbDisplay
tt7609544	1	imdbDisplay
tt8415890	1	original
tt8656264	2	original
tt8659914	1	imdbDisplay
tt8661306	1	original
tt8712998	2	original
tt8767596	1	imdbDisplay
tt8774934	1	imdbDisplay
tt8838574	2	original
tt9173964	1	imdbDisplay
tt9753002	4	original
tt9859616	9	imdbDisplay
