title_id	genre
tt0031381	Drama
tt0031381	Romance
tt0031381	War
tt0040806	Drama
tt0040806	Mystery
tt0041452	Drama
tt0041452	Romance
tt0029843	Action
tt0029843	Adventure
tt0029843	Romance
tt0093058	Drama
tt0093058	War
tt0072684	Adventure
tt0072684	Drama
tt0072684	War
tt0066921	Crime
tt0066921	Sci-Fi
tt0062622	Adventure
tt0062622	Sci-Fi
tt0054749	Drama
tt0054749	War
tt0076085	Drama
tt0058335	Comedy
tt0058335	Drama
tt0058335	Romance
tt0060121	Action
tt0060121	Adventure
tt0060121	Crime
tt0047522	Drama
tt0047522	Musical
tt0047522	Romance
tt0045943	Drama
tt0045943	History
tt0053125	Action
tt0053125	Adventure
tt0053125	Mystery
tt0056193	Crime
tt0056193	Drama
tt0056193	Romance
tt0056197	Action
tt0056197	Drama
tt0056197	History
tt0050356	Action
tt0050356	Adventure
tt0050356	Drama
tt0048424	Crime
tt0048424	Drama
tt0048424	Film-Noir
tt0039689	Crime
tt0039689	Drama
tt0039689	Film-Noir
tt0056172	Adventure
tt0056172	Biography
tt0056172	Drama
tt0049456	Biography
tt0049456	Drama
tt0057831	Comedy
tt0057831	Drama
tt0064952	Comedy
tt0064952	Drama
tt0064952	War
tt0033467	Drama
tt0033467	Mystery
tt0057427	Drama
tt0057427	Mystery
tt0057427	Thriller
tt0040525	Crime
tt0040525	Drama
tt0040525	Film-Noir
tt0052311	Crime
tt0052311	Drama
tt0052311	Film-Noir
tt0108525	Comedy
tt0108525	Music
tt0337921	Action
tt0337921	Crime
tt0337921	Thriller
tt0119488	Crime
tt0119488	Drama
tt0119488	Mystery
tt0096895	Action
tt0096895	Adventure
tt0433383	Biography
tt0433383	Drama
tt0433383	History
tt1193138	Comedy
tt1193138	Drama
tt1193138	Romance
tt0465538	Crime
tt0465538	Drama
tt0465538	Mystery
tt1124035	Drama
tt1124035	Thriller
tt0162222	Adventure
tt0162222	Drama
tt0162222	Romance
tt0094737	Comedy
tt0094737	Drama
tt0094737	Fantasy
tt0120815	Drama
tt0120815	War
tt0109830	Drama
tt0109830	Romance
tt0120891	Action
tt0120891	Comedy
tt0120891	Sci-Fi
tt1615065	Action
tt1615065	Crime
tt1615065	Drama
tt0112851	Action
tt0112851	Crime
tt0112851	Thriller
tt0120679	Biography
tt0120679	Drama
tt0120679	Romance
tt0203009	Drama
tt0203009	Musical
tt0203009	Romance
tt0159365	Adventure
tt0159365	Drama
tt0159365	Romance
tt0274558	Drama
tt0274558	Romance
tt0935075	Drama
tt5503686	Comedy
tt5503686	Crime
tt5503686	Drama
tt0120780	Comedy
tt0120780	Crime
tt0120780	Drama
tt0252076	Comedy
tt0252076	Drama
tt0252076	Romance
tt2126357	Comedy
tt2126357	Drama
tt2126357	Romance
tt0113481	Action
tt0113481	Drama
tt0113481	Sci-Fi
tt0089927	Drama
tt0089927	Sport
tt0093507	Action
tt0093507	Adventure
tt0093507	Fantasy
tt0105698	Action
tt0105698	Sci-Fi
tt0842926	Comedy
tt0842926	Drama
tt0842926	Romance
tt0118749	Drama
tt0175880	Drama
tt0297884	Drama
tt0297884	Romance
tt0111257	Action
tt0111257	Adventure
tt0111257	Thriller
tt0234215	Action
tt0234215	Sci-Fi
tt0102685	Action
tt0102685	Crime
tt0102685	Thriller
tt0133093	Action
tt0133093	Sci-Fi
tt0118655	Adventure
tt0118655	Comedy
tt0120738	Action
tt0120738	Adventure
tt0120738	Family
tt0210070	Drama
tt0210070	Fantasy
tt0210070	Horror
tt0488085	Comedy
tt0488085	Crime
tt0488085	Thriller
tt0115736	Crime
tt0115736	Thriller
tt0387575	Comedy
tt0387575	Horror
tt0387575	Thriller
tt0109348	Comedy
tt0109348	Crime
tt0144120	Comedy
tt0144120	Horror
tt0144120	Thriller
tt0287467	Drama
tt0287467	Mystery
tt0287467	Romance
tt0095675	88
