name_id	title_id
nm0000406	tt0056217
nm0000406	tt0045061
nm0000406	tt0032551
nm0000435	tt0083658
nm0000435	tt0378194
nm0000435	tt0094291
nm0000435	tt0088161
nm0000442	tt1640459
nm0000442	tt0091209
nm0000442	tt0401792
nm0000442	tt0083658
nm0000457	tt0087803
nm0000457	tt0080678
nm0000457	tt0078748
nm0000457	tt1340800
nm0000489	tt0121765
nm0000489	tt0167261
nm0000489	tt0070917
nm0000489	tt0120737
nm0000493	tt0053291
nm0000493	tt0053604
nm0000493	tt0107050
nm0000493	tt0104348
nm0000507	tt0086066
nm0000507	tt0090060
nm0000507	tt0105793
nm0000507	tt1291580
nm0000527	tt0060424
nm0000527	tt0063374
nm0000527	tt0072251
nm0000527	tt0056923
nm0000568	tt2527336
nm0000568	tt0063951
nm0000568	tt0074028
nm0000568	tt0121765
nm0000652	tt0098724
nm0000652	tt0402711
nm0000652	tt2395427
nm0000652	tt2741602
nm0000654	tt0109045
nm0000654	tt0165854
nm0000654	tt1047011
nm0000654	tt1385826
nm0000691	tt0126604
nm0000691	tt0095270
nm0000691	tt0387575
nm0000691	tt0111127
nm0000697	tt0043014
nm0000697	tt0053604
nm0000697	tt0053291
nm0000697	tt0047437
nm0000698	tt0067992
nm0000698	tt0072431
nm0000698	tt0098282
nm0000698	tt0063462
nm0000734	tt0068687
nm0000734	tt0048445
nm0000734	tt0058808
nm0000734	tt0046250
nm0000742	tt0040876
nm0000742	tt0049578
nm0000742	tt0041928
nm0000742	tt0046963
nm0000752	tt0037008
nm0000752	tt0032976
nm0000752	tt0051459
nm0000752	tt0088170
nm0000771	tt0104466
nm0000771	tt0099363
nm0000771	tt0085811
nm0000771	tt0112896
nm0000799	tt0319343
nm0000799	tt1049413
nm0000799	tt0061619
nm0000799	tt0065314
nm0000842	tt0059798
nm0000842	tt0054215
nm0000842	tt0050083
nm0000842	tt0074119
nm0000885	tt0822854
nm0000885	tt0078346
nm0000885	tt0068473
nm0000885	tt0074958
nm0000933	tt0078924
nm0000933	tt4905966
nm0000933	tt0095816
nm0000933	tt0072554
nm0000967	tt0069658
nm0000967	tt0064177
nm0000967	tt0067065
nm0000967	tt0120338
nm0000996	tt0117731
nm0000996	tt0120844
nm0000996	tt0253754
nm0000996	tt0111280
nm0001005	tt10293406
nm0001005	tt2103085
nm0001005	tt0107822
nm0001005	tt0810784
nm0001012	tt0054225
nm0001012	tt0064116
nm0001012	tt0057413
nm0001012	tt0056801
nm0001040	tt0113492
nm0001040	tt0093389
nm0001040	tt0110725
nm0001040	tt0452631
nm0001080	tt0115571
nm0001080	tt0087921
nm0001080	tt0076723
nm0001080	tt0140352
nm0001098	tt0090685
nm0001098	tt0102813
nm0001098	tt0085470
nm0001098	tt0080487
nm0001153	tt0075066
nm0001153	tt0092325
nm0001153	tt0088583
nm0001153	tt0079240
nm0001157	tt0062430
nm0001157	tt0058972
nm0001157	tt0073971
nm0001157	tt0056241
nm0001170	tt0065466
nm0001170	tt2382298
nm0001170	tt0075583
nm0001170	tt0090523
nm0001252	tt1561768
nm0001252	tt0330099
nm0001252	tt0106307
nm0001252	tt0118789
nm0001357	tt0092493
nm0001357	tt0090555
nm0001357	tt0360032
nm0001357	tt0099018
nm0001363	tt0100024
nm0001363	tt0121164
nm0001363	tt0120630
nm0001363	tt0147004
nm0001370	tt0086361
nm0001370	tt1758692
nm0001370	tt0056758
nm0001370	tt0065272
nm0001379	tt0042208
nm0001379	tt0043265
nm0001379	tt0071315
nm0001379	tt0040897
nm0001428	tt0068182
nm0001428	tt0083946
nm0001428	tt0079641
nm0001428	tt0059578
nm0001468	tt0119951
nm0001468	tt0083441
nm0001468	tt0115641
nm0001468	tt0106053
nm0001640	tt0082121
nm0001640	tt0081562
nm0001640	tt0098282
nm0001640	tt0086393
